序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,51job,2026-06-20.6,2026-06-18.1,2026-06-18.1,数据开发工程师,南京,070200,172536953,https://jobs.51job.com/nanjing/172536953.html,2026-06-20T18:32:04.394317,77381eed89c8ccfa,965d922fea5d874d,数据开发工程师,华天科技（江苏）有限公司,南京,,1-1.3万,10000,13000,12,本科,本科,1年以上,1年及以上,1,,下限,全职,电子技术/半导体/集成电路,1000-5000人,民营,2026-06-12,2026-06-12 16:28:52,118.525553,31.971639,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，API隐藏专业标签不纳入标准专业候选,"岗位职责:
1.负责各数据库的数据梳理及模型建立。
2.对接业务部门需求，开发数据报表及分析工具，协助运营决策及效率优化
3.维护数据平台稳定，保证数据准确性","岗位职责:
1.负责各数据库的数据梳理及模型建立。
2.对接业务部门需求，开发数据报表及分析工具，协助运营决策及效率优化
3.维护数据平台稳定，保证数据准确性",,"1.负责各数据库的数据梳理及模型建立。
2.对接业务部门需求，开发数据报表及分析工具，协助运营决策及效率优化
3.维护数据平台稳定，保证数据准确性",1年及以上|本科|数据库|数据报表|数据平台|数据梳理|数据准确性|模型创建|效率优化|五险一金|补充医疗保险|补充公积金|五险一金|补充医疗保险|补充公积金,,,,,,job_description_fallback,requirement_section_missing|skill_candidate_missing|district_missing|major_missing
2,51job,2026-06-20.6,2026-06-18.1,2026-06-18.1,数据开发工程师,南京,070200,172182336,https://jobs.51job.com/nanjing-jyq/172182336.html,2026-06-20T18:32:04.396317,c24295cb45a6a8a3,d911e9552ed0e270,数据开发工程师,南京六朝云智科技有限公司,南京,建邺区,1.3-1.5万,13000,15000,12,本科,本科,3-5年,3-5年,3,5,区间,全职,计算机软件,50-150人,民营,2026-05-21,2026-05-21 10:46:13,118.738635,31.989629,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，API隐藏专业标签不纳入标准专业候选,"1.熟悉阿里云大数据生态，熟练使用Dataphin或DataWorks（Dataphin优先）进行数仓开发、任务调度与数据治理；
2.精通Hive SQL开发与优化，熟悉Hive底层执行原理，能解决复杂查询性能问题；熟练使用Spark进行任务开发；
3.精通数据迁移工具（Sqoop、DataX）的使用与二次开发，能根据不同数据源特性设计高效的抽取方案；
4.熟练编写Shell脚本，能读懂并调试Python脚本，具备自动化任务开发能力；
5.熟悉阿里云OSS对象存储的使用，掌握数据在OSS与Hive/Spark等组件间的流转逻辑；
6、有埋点经验，此项为硬性要求","1.熟悉阿里云大数据生态，熟练使用Dataphin或DataWorks（Dataphin优先）进行数仓开发、任务调度与数据治理；
2.精通Hive SQL开发与优化，熟悉Hive底层执行原理，能解决复杂查询性能问题；熟练使用Spark进行任务开发；
3.精通数据迁移工具（Sqoop、DataX）的使用与二次开发，能根据不同数据源特性设计高效的抽取方案；
4.熟练编写Shell脚本，能读懂并调试Python脚本，具备自动化任务开发能力；
5.熟悉阿里云OSS对象存储的使用，掌握数据在OSS与Hive/Spark等组件间的流转逻辑；
6、有埋点经验，此项为硬性要求",,,3-5年|本科|阿里云|数据迁移|dataworks|埋点|五险一金,Python|SQL|Spark|数据仓库|Hive|数据治理,,Python|SQL|Spark|数据仓库|Hive|数据治理,Python=>编程语言 || SQL=>查询语言 || Spark=>大数据框架 || 数据仓库=>数据工程 || Hive=>大数据框架 || 数据治理=>数据工程,Python=>4.熟练编写Shell脚本，能读懂并调试Python脚本，具备自动化任务开发能力； || SQL=>2.精通Hive SQL开发与优化，熟悉Hive底层执行原理，能解决复杂查询性能问题； || Spark=>熟练使用Spark进行任务开发； || 数据仓库=>1.熟悉阿里云大数据生态，熟练使用Dataphin或DataWorks（Dataphin优先）进行数仓开发、任务调度与数据治理； || Hive=>2.精通Hive SQL开发与优化，熟悉Hive底层执行原理，能解决复杂查询性能问题； || 数据治理=>1.熟悉阿里云大数据生态，熟练使用Dataphin或DataWorks（Dataphin优先）进行数仓开发、任务调度与数据治理；,job_description_fallback,requirement_section_missing|major_missing
3,51job,2026-06-20.6,2026-06-18.1,2026-06-18.1,数据开发工程师,南京,070200,171372223,https://jobs.51job.com/nanjing-pkq/171372223.html,2026-06-20T18:32:04.398825,2fcfaea229791663,ea11e31f6d1ef20c,数据开发工程师,南京药石科技股份有限公司,南京,浦口区,1.5-3万,15000,30000,12,本科,本科,3年以上,3年及以上,3,,下限,全职,制药/生物工程,1000-5000人,已上市,2026-04-01,2026-04-01 11:20:41,118.699781,32.180713,not_supported_by_description,计算机类,计算机类,计算机类=>工学,要求,1. 本科及以上学历，***计算机类专业，3 年及以上数据开发实战经验,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"工作职责：
1. 负责企业级数据平台的模块开发、迭代与维护工作；
2. 基于大数据技术栈完成多源异构数据的采集、清洗、计算和存储；
3. 负责向量数据库的设计、开发、调优及日常管理；
4. 负责图数据模型设计、图计算开发等相关工作；
5. 对接业务方需求，落地数据相关解决方案并保障数据质量；
6. 参与数据建模相关工作，保障数据模型的合理性和实用性；

任职要求：
1. 本科及以上学历，***计算机类专业，3 年及以上数据开发实战经验；
2. 熟练掌握 Hadoop、Spark、Iceberg 等主流大数据技术栈；
3. 具备向量数据库（Milvus/PGVector/FAISS 等）实际开发经验；
4. 具备图数据库（Neo4j/JanusGraph 等）开发及应用经验；
5. 熟练掌握 Java、Python 至少一门开发语言；
6. 具备数据建模能力，能独立完成数据模型设计与优化；
7. 熟悉 PG/MySQL/Oracle 等关系型数据库，熟练编写 Shell 脚本。","工作职责：
1. 负责企业级数据平台的模块开发、迭代与维护工作；
2. 基于大数据技术栈完成多源异构数据的采集、清洗、计算和存储；
3. 负责向量数据库的设计、开发、调优及日常管理；
4. 负责图数据模型设计、图计算开发等相关工作；
5. 对接业务方需求，落地数据相关解决方案并保障数据质量；
6. 参与数据建模相关工作，保障数据模型的合理性和实用性；

任职要求：
1. 本科及以上学历，***计算机类专业，3 年及以上数据开发实战经验；
2. 熟练掌握 Hadoop、Spark、Iceberg 等主流大数据技术栈；
3. 具备向量数据库（Milvus/PGVector/FAISS 等）实际开发经验；
4. 具备图数据库（Neo4j/JanusGraph 等）开发及应用经验；
5. 熟练掌握 Java、Python 至少一门开发语言；
6. 具备数据建模能力，能独立完成数据模型设计与优化；
7. 熟悉 PG/MySQL/Oracle 等关系型数据库，熟练编写 Shell 脚本。","1. 本科及以上学历，***计算机类专业，3 年及以上数据开发实战经验；
2. 熟练掌握 Hadoop、Spark、Iceberg 等主流大数据技术栈；
3. 具备向量数据库（Milvus/PGVector/FAISS 等）实际开发经验；
4. 具备图数据库（Neo4j/JanusGraph 等）开发及应用经验；
5. 熟练掌握 Java、Python 至少一门开发语言；
6. 具备数据建模能力，能独立完成数据模型设计与优化；
7. 熟悉 PG/MySQL/Oracle 等关系型数据库，熟练编写 Shell 脚本。","1. 负责企业级数据平台的模块开发、迭代与维护工作；
2. 基于大数据技术栈完成多源异构数据的采集、清洗、计算和存储；
3. 负责向量数据库的设计、开发、调优及日常管理；
4. 负责图数据模型设计、图计算开发等相关工作；
5. 对接业务方需求，落地数据相关解决方案并保障数据质量；
6. 参与数据建模相关工作，保障数据模型的合理性和实用性；",3年及以上|本科|java|财务|sql|营销|新药研发|安全生产|hadoop|etl|数据仓库|spark|五险一金|补充医疗保险|免费班车|交通补贴|专业培训|定期体检|营养餐,Python|Spark|Java|MySQL|Oracle|Hadoop|数据建模,Python|Spark|Java|MySQL|Oracle|Hadoop|数据建模,Python|Spark|Java|MySQL|Oracle|Hadoop|数据建模,Python=>编程语言 || Spark=>大数据框架 || Java=>编程语言 || MySQL=>数据库 || Oracle=>数据库 || Hadoop=>大数据框架 || 数据建模=>数据工程,Python=>5. 熟练掌握 Java、Python 至少一门开发语言； || Spark=>2. 熟练掌握 Hadoop、Spark、Iceberg 等主流大数据技术栈； || Java=>5. 熟练掌握 Java、Python 至少一门开发语言； || MySQL=>7. 熟悉 PG/MySQL/Oracle 等关系型数据库，熟练编写 Shell 脚本。 || Oracle=>7. 熟悉 PG/MySQL/Oracle 等关系型数据库，熟练编写 Shell 脚本。 || Hadoop=>2. 熟练掌握 Hadoop、Spark、Iceberg 等主流大数据技术栈； || 数据建模=>6. 具备数据建模能力，能独立完成数据模型设计与优化；,requirement_text,platform_major_not_supported
4,51job,2026-06-20.6,2026-06-18.1,2026-06-18.1,数据开发工程师,南京,070200,170451158,https://jobs.51job.com/nanjing-jyq/170451158.html,2026-06-20T18:32:04.400824,118ba551493f9414,5bdad177717e87e3,数据开发岗,民生人寿保险股份有限公司,南京,建邺区,1.5-2万·17薪,15000,20000,17,本科,本科,5年以上,5年及以上,5,,下限,全职,保险,5000-10000人,民营,2026-01-28,2026-01-28 15:21:15,118.727974,32.003713,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，API隐藏专业标签不纳入标准专业候选,"岗位职责：
1. 技术架构与设计：负责经斗云产品和CDP产品数据平台的核心架构设计，包括实时/离线数据管道、用户画像模型、标签体系的数据模型与计算方案。
2. 攻坚与优化：解决大数据量下的性能瓶颈、实时计算延迟、系统稳定性等高阶技术难题。
3. 代码质量与规范：主导数据开发团队的代码Review，制定数据开发规范与质量标准。
4. 技术规划：参与数据技术选型，规划平台的技术演进路线。
5. 指导与赋能：指导T2、T1数据开发工程师，提升团队整体技术水平。
任职资格：
1. 经验：5年及以上大数据开发经验，有主导过CDP、DMP或实时数据平台项目经验者优先。
2. 技术能力：
- 精通Flink/Spark Streaming实时计算框架，精通Kafka。
- 深度掌握用户画像、ID-Mapping、标签体系的技术实现方案。
- 精通大数据生态（Hadoop/Hive/Spark），具备调优能力。
3. 软技能：具备良好的业务理解力、系统思维和技术领导力。
4.独立进行业务数据逻辑的开发","岗位职责：
1. 技术架构与设计：负责经斗云产品和CDP产品数据平台的核心架构设计，包括实时/离线数据管道、用户画像模型、标签体系的数据模型与计算方案。
2. 攻坚与优化：解决大数据量下的性能瓶颈、实时计算延迟、系统稳定性等高阶技术难题。
3. 代码质量与规范：主导数据开发团队的代码Review，制定数据开发规范与质量标准。
4. 技术规划：参与数据技术选型，规划平台的技术演进路线。
5. 指导与赋能：指导T2、T1数据开发工程师，提升团队整体技术水平。
任职资格：
1. 经验：5年及以上大数据开发经验，有主导过CDP、DMP或实时数据平台项目经验者优先。
2. 技术能力：
- 精通Flink/Spark Streaming实时计算框架，精通Kafka。
- 深度掌握用户画像、ID-Mapping、标签体系的技术实现方案。
- 精通大数据生态（Hadoop/Hive/Spark），具备调优能力。
3. 软技能：具备良好的业务理解力、系统思维和技术领导力。
4.独立进行业务数据逻辑的开发","1. 经验：5年及以上大数据开发经验，有主导过CDP、DMP或实时数据平台项目经验者优先。
2. 技术能力：
- 精通Flink/Spark Streaming实时计算框架，精通Kafka。
- 深度掌握用户画像、ID-Mapping、标签体系的技术实现方案。
- 精通大数据生态（Hadoop/Hive/Spark），具备调优能力。
3. 软技能：具备良好的业务理解力、系统思维和技术领导力。
4.独立进行业务数据逻辑的开发","1. 技术架构与设计：负责经斗云产品和CDP产品数据平台的核心架构设计，包括实时/离线数据管道、用户画像模型、标签体系的数据模型与计算方案。
2. 攻坚与优化：解决大数据量下的性能瓶颈、实时计算延迟、系统稳定性等高阶技术难题。
3. 代码质量与规范：主导数据开发团队的代码Review，制定数据开发规范与质量标准。
4. 技术规划：参与数据技术选型，规划平台的技术演进路线。
5. 指导与赋能：指导T2、T1数据开发工程师，提升团队整体技术水平。",5年及以上|本科|kafka|hadoop|hive|spark|调优|用户画像|数据模型|代码质量|flink|技术架构|保险|五险一金|带薪年假|带薪病假|年终奖金|绩效奖金|定期体检|有餐补|定期团建,Spark|Hadoop|Hive|Flink|Kafka|数据建模,Spark|Hadoop|Hive|Flink|Kafka,Spark|Hadoop|Hive|Flink|Kafka,Spark=>大数据框架 || Hadoop=>大数据框架 || Hive=>大数据框架 || Flink=>大数据框架 || Kafka=>消息与流处理,Spark=>- 精通Flink/Spark Streaming实时计算框架，精通Kafka。 || Hadoop=>- 精通大数据生态（Hadoop/Hive/Spark），具备调优能力。 || Hive=>- 精通大数据生态（Hadoop/Hive/Spark），具备调优能力。 || Flink=>- 精通Flink/Spark Streaming实时计算框架，精通Kafka。 || Kafka=>- 精通Flink/Spark Streaming实时计算框架，精通Kafka。,requirement_text,major_missing
