标准岗位,标准城市,技能,出现岗位数,岗位内出现率
Python开发工程师,成都,Flask,12,37.5%
Python开发工程师,杭州,Linux,12,48.0%
Python开发工程师,西安,Git,12,26.7%
Python开发工程师,重庆,Python,12,100.0%
大数据开发工程师,北京,ETL,12,22.6%
大数据开发工程师,北京,数据建模,12,22.6%
大数据开发工程师,南京,Hadoop,12,63.2%
大数据开发工程师,南京,Hive,12,63.2%
大数据开发工程师,南京,Java,12,63.2%
大数据开发工程师,南京,Spark,12,63.2%
大数据开发工程师,武汉,Hive,12,60.0%
数据分析师,北京,Hive,12,6.7%
数据分析师,南京,R,12,20.0%
数据分析师,南京,数据建模,12,20.0%
数据分析师,成都,机器学习,12,13.3%
数据分析师,武汉,Power BI,12,18.2%
数据开发工程师,上海,Scala,12,14.6%
数据开发工程师,北京,HBase,12,17.6%
数据开发工程师,广州,Java,12,29.3%
数据开发工程师,广州,数据建模,12,29.3%
数据开发工程师,成都,数据仓库,12,41.4%
数据开发工程师,杭州,Flink,12,34.3%
数据开发工程师,杭州,Spark,12,34.3%
数据开发工程师,武汉,MySQL,12,36.4%
数据开发工程师,深圳,Kafka,12,20.7%
机器学习工程师,上海,Python,12,92.3%
算法工程师,上海,NumPy,12,1.8%
算法工程师,北京,MySQL,12,2.2%
算法工程师,南京,NLP,12,4.9%
算法工程师,南京,RAG,12,4.9%
算法工程师,南京,数据挖掘,12,4.9%
算法工程师,广州,NumPy,12,3.6%
算法工程师,成都,Java,12,4.7%
算法工程师,武汉,Java,12,4.8%
算法工程师,深圳,R,12,1.9%
Python开发工程师,上海,Kafka,11,16.7%
Python开发工程师,北京,Kubernetes,11,12.0%
Python开发工程师,广州,Docker,11,33.3%
Python开发工程师,广州,Redis,11,33.3%
Python开发工程师,成都,Linux,11,34.4%
大数据开发工程师,上海,Kafka,11,35.5%
大数据开发工程师,上海,数据仓库,11,35.5%
大数据开发工程师,南京,Flink,11,57.9%
大数据开发工程师,南京,SQL,11,57.9%
大数据开发工程师,广州,数据建模,11,31.4%
大数据开发工程师,武汉,数据仓库,11,55.0%
大数据开发工程师,深圳,Scala,11,25.6%
数据分析师,上海,数据治理,11,6.1%
数据分析师,广州,机器学习,11,7.8%
数据分析师,杭州,数据可视化,11,12.9%
数据分析师,西安,R,11,19.3%
数据开发工程师,南京,Hive,11,31.4%
数据开发工程师,广州,Linux,11,26.8%
数据开发工程师,成都,Java,11,37.9%
数据开发工程师,杭州,Oracle,11,31.4%
数据开发工程师,武汉,Java,11,33.3%
数据开发工程师,西安,Hive,11,40.7%
