来源平台,标准城市,标准岗位,有效行数_去重前,有效行数_去重后,移除重复行数,技能覆盖率,薪资解析覆盖率,描述覆盖率
前程无忧,镇江,算法工程师,2,2,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,上海,Python开发工程师,5,5,0,100.0%,80.0%,100.0%
国家大学生就业服务平台,上海,数据仓库工程师,2,2,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,上海,数据分析师,14,14,0,100.0%,92.9%,100.0%
国家大学生就业服务平台,上海,数据开发工程师,20,20,0,85.0%,85.0%,100.0%
国家大学生就业服务平台,上海,机器学习工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,上海,算法工程师,237,235,2,89.8%,81.7%,100.0%
国家大学生就业服务平台,北京,Python开发工程师,7,7,0,100.0%,85.7%,100.0%
国家大学生就业服务平台,北京,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,北京,数据分析师,55,55,0,87.3%,96.4%,100.0%
国家大学生就业服务平台,北京,数据开发工程师,16,16,0,87.5%,81.2%,100.0%
国家大学生就业服务平台,北京,机器学习工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,北京,算法工程师,374,374,0,96.0%,93.0%,100.0%
国家大学生就业服务平台,南京,数据分析师,9,9,0,100.0%,77.8%,100.0%
国家大学生就业服务平台,南京,机器学习工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,南京,算法工程师,60,60,0,86.7%,80.0%,100.0%
国家大学生就业服务平台,广州,Python开发工程师,2,2,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,广州,大数据开发工程师,6,6,0,100.0%,50.0%,100.0%
国家大学生就业服务平台,广州,数据仓库工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,广州,数据分析师,11,11,0,90.9%,100.0%,100.0%
国家大学生就业服务平台,广州,数据开发工程师,4,4,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,广州,机器学习工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,广州,算法工程师,96,96,0,83.3%,94.8%,100.0%
国家大学生就业服务平台,成都,数据分析师,4,4,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,成都,数据开发工程师,2,2,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,成都,算法工程师,66,66,0,81.8%,72.7%,100.0%
国家大学生就业服务平台,杭州,Python开发工程师,3,3,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,杭州,数据分析师,11,11,0,72.7%,100.0%,100.0%
国家大学生就业服务平台,杭州,数据开发工程师,9,9,0,100.0%,77.8%,100.0%
国家大学生就业服务平台,杭州,机器学习工程师,2,2,0,100.0%,0.0%,100.0%
国家大学生就业服务平台,杭州,算法工程师,168,168,0,91.1%,83.3%,100.0%
国家大学生就业服务平台,武汉,数据分析师,4,4,0,75.0%,75.0%,100.0%
国家大学生就业服务平台,武汉,算法工程师,51,51,0,92.2%,92.2%,100.0%
国家大学生就业服务平台,深圳,Python开发工程师,4,4,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,深圳,数据分析师,15,15,0,73.3%,93.3%,100.0%
国家大学生就业服务平台,深圳,数据开发工程师,12,12,0,100.0%,91.7%,100.0%
国家大学生就业服务平台,深圳,算法工程师,293,293,0,78.2%,91.1%,100.0%
国家大学生就业服务平台,西安,Python开发工程师,1,1,0,100.0%,100.0%,100.0%
国家大学生就业服务平台,西安,数据分析师,7,7,0,85.7%,85.7%,100.0%
国家大学生就业服务平台,西安,数据开发工程师,2,2,0,100.0%,50.0%,100.0%
国家大学生就业服务平台,西安,算法工程师,31,31,0,71.0%,77.4%,100.0%
国家大学生就业服务平台,重庆,数据分析师,3,3,0,100.0%,66.7%,100.0%
国家大学生就业服务平台,重庆,数据开发工程师,1,1,0,100.0%,0.0%,100.0%
国家大学生就业服务平台,重庆,算法工程师,13,13,0,92.3%,61.5%,100.0%
智联招聘,上海,BI分析师,2,2,0,100.0%,100.0%,100.0%
智联招聘,上海,Python开发工程师,38,35,3,100.0%,100.0%,100.0%
智联招聘,上海,大数据开发工程师,19,18,1,100.0%,100.0%,100.0%
智联招聘,上海,数据仓库工程师,3,3,0,100.0%,100.0%,100.0%
智联招聘,上海,数据分析师,64,57,7,87.7%,96.5%,100.0%
智联招聘,上海,数据开发工程师,52,47,5,95.7%,100.0%,100.0%
智联招聘,上海,机器学习工程师,6,5,1,100.0%,100.0%,100.0%
