序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,上海,31,8rRD18DRwrhHDBqmQZpaE3,https://www.ncss.cn/student/jobs/8rRD18DRwrhHDBqmQZpaE3/detail.html,2026-06-24T09:20:09.346866,40154c6129a27693,e14a01f7279325ad,金融python开发工程师,上海孚厘科技有限公司,上海,徐汇区,7-10K/月,7000,10000,12,本科,本科及以上,,,,,未说明,全职,,100-499人,其他,2026-06-03,1780455600000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,1.本科以上学历，计算机相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：
1.负责基于python语言进行数据分析；
2.负责配合项目负责人完成需求调研、需求评审，充分了解项目需求及背景，完成需求开发； 
4.负责已上线项目的维护，保证项目正常运行，同时维护好客户关系；
5.根据项目需要、公司发展需要，完成新技术的研究和学习；
6.完成领导交给的其他工作。
任职要求：
1.本科以上学历，计算机相关专业；
2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； 
3.熟悉安全技术、网络知识，以及Linux.等操作系统； 
4.熟悉银行金融风控项目，具备三方数据应用、人行征信应用经验；
5.学习能力强，具有敬业精神和合作意识，能够服从领导安排、适应客户节奏，抗压力强。","岗位职责：
1.负责基于python语言进行数据分析；
2.负责配合项目负责人完成需求调研、需求评审，充分了解项目需求及背景，完成需求开发； 
4.负责已上线项目的维护，保证项目正常运行，同时维护好客户关系；
5.根据项目需要、公司发展需要，完成新技术的研究和学习；
6.完成领导交给的其他工作。
任职要求：
1.本科以上学历，计算机相关专业；
2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； 
3.熟悉安全技术、网络知识，以及Linux.等操作系统； 
4.熟悉银行金融风控项目，具备三方数据应用、人行征信应用经验；
5.学习能力强，具有敬业精神和合作意识，能够服从领导安排、适应客户节奏，抗压力强。","1.本科以上学历，计算机相关专业；
2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； 
3.熟悉安全技术、网络知识，以及Linux.等操作系统； 
4.熟悉银行金融风控项目，具备三方数据应用、人行征信应用经验；
5.学习能力强，具有敬业精神和合作意识，能够服从领导安排、适应客户节奏，抗压力强。","1.负责基于python语言进行数据分析；
2.负责配合项目负责人完成需求调研、需求评审，充分了解项目需求及背景，完成需求开发； 
4.负责已上线项目的维护，保证项目正常运行，同时维护好客户关系；
5.根据项目需要、公司发展需要，完成新技术的研究和学习；
6.完成领导交给的其他工作",,Python|SQL|Pandas|NumPy|Linux,Python|SQL|Pandas|NumPy|Linux,Python|SQL|Pandas|NumPy|Linux,Python=>编程语言 || SQL=>查询语言 || Pandas=>数据处理库 || NumPy=>数据处理库 || Linux=>操作系统,Python=>2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； || SQL=>2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； || Pandas=>2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； || NumPy=>2.熟练掌握python开发技术（pandas、numpy等）、常用数据库操作，熟悉使用SQL进行数据库相关操作； || Linux=>3.熟悉安全技术、网络知识，以及Linux.等操作系统；,requirement_text,
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,上海,31,ATphH7GmbBLnWyKiEikLEZ,https://www.ncss.cn/student/jobs/ATphH7GmbBLnWyKiEikLEZ/detail.html,2026-06-24T09:20:12.623188,074100300efa2a26,ea64a6ab57bf05f3,python开发工程师,上海形拓科技有限公司,上海,徐汇区,4-7K/月,4000,7000,12,本科,本科及以上,,,,,未说明,全职,,50-99人,,2026-05-26,1779764400000,,,not_provided,计算机|自动化|人工智能,计算机类|自动化|人工智能,计算机类=>工学 || 自动化=>工学 || 人工智能=>工学,要求,1.本科及以上学历，计算机科学、自动化、电子工程、人工智能等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：
1.参与开发与测试：协助完成机器人仿真算法或工具模块的Python代码编写、调试和测试工作。
2.维护仿真环境：协助使用IsaacSim/IsaacLab、UE/Unity等三维引擎工具，搭建和维护机器人仿真训练环境。
3.支持项目研究：在指导下，参与机器人强化学习、模型训练等前沿技术的调研、实验和数据整理工作。
4.文档撰写：协助撰写相关技术文档、实验报告及使用说明。
岗位要求：
1.本科及以上学历，计算机科学、自动化、电子工程、人工智能等相关专业。
2.扎实的Python编程基础，熟悉面向对象编程及常用的数据结构和算法。
3.具备ROS的实际使用经验，理解其核心概念（节点、话题、服务、动作）。","岗位职责：
1.参与开发与测试：协助完成机器人仿真算法或工具模块的Python代码编写、调试和测试工作。
2.维护仿真环境：协助使用IsaacSim/IsaacLab、UE/Unity等三维引擎工具，搭建和维护机器人仿真训练环境。
3.支持项目研究：在指导下，参与机器人强化学习、模型训练等前沿技术的调研、实验和数据整理工作。
4.文档撰写：协助撰写相关技术文档、实验报告及使用说明。
岗位要求：
1.本科及以上学历，计算机科学、自动化、电子工程、人工智能等相关专业。
2.扎实的Python编程基础，熟悉面向对象编程及常用的数据结构和算法。
3.具备ROS的实际使用经验，理解其核心概念（节点、话题、服务、动作）。","1.本科及以上学历，计算机科学、自动化、电子工程、人工智能等相关专业。
2.扎实的Python编程基础，熟悉面向对象编程及常用的数据结构和算法。
3.具备ROS的实际使用经验，理解其核心概念（节点、话题、服务、动作）。","1.参与开发与测试：协助完成机器人仿真算法或工具模块的Python代码编写、调试和测试工作。
2.维护仿真环境：协助使用IsaacSim/IsaacLab、UE/Unity等三维引擎工具，搭建和维护机器人仿真训练环境。
3.支持项目研究：在指导下，参与机器人强化学习、模型训练等前沿技术的调研、实验和数据整理工作。
4.文档撰写：协助撰写相关技术文档、实验报告及使用说明",,Python,Python,Python,Python=>编程语言,Python=>2.扎实的Python编程基础，熟悉面向对象编程及常用的数据结构和算法。,requirement_text,
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,上海,31,J15p3TRirApAccS6vKSwee,https://www.ncss.cn/student/jobs/J15p3TRirApAccS6vKSwee/detail.html,2026-06-24T09:20:15.716457,c796ec0c7fc48fe4,2d93eccac1c1c022,python开发工程师,上海松应科技有限公司,上海,闵行区,12-20K/月,12000,20000,12,本科,本科及以上,,,,,未说明,全职,,50-99人,,2026-05-23,1779505212000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,1.计算机相关专业本科及以上学历，且有Python开发的项目经验,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：
1.公司产品的前后端服务设计与开发，编写高质量、可扩展的Python代码，确保系统的稳定和性能；
2.对现有系统进行性能调优、Bug修复和架构升级，解决开发过程中的技术难题；
3.撰写清晰的技术文档，配合团队项目完成相关开发任务。
任职要求
1.计算机相关专业本科及以上学历，且有Python开发的项目经验；
2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景；
3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力；
4.熟练使用Linux系统进行开发部署，熟悉Git版本控制工具。","岗位职责：
1.公司产品的前后端服务设计与开发，编写高质量、可扩展的Python代码，确保系统的稳定和性能；
2.对现有系统进行性能调优、Bug修复和架构升级，解决开发过程中的技术难题；
3.撰写清晰的技术文档，配合团队项目完成相关开发任务。
任职要求
1.计算机相关专业本科及以上学历，且有Python开发的项目经验；
2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景；
3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力；
4.熟练使用Linux系统进行开发部署，熟悉Git版本控制工具。","1.计算机相关专业本科及以上学历，且有Python开发的项目经验；
2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景；
3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力；
4.熟练使用Linux系统进行开发部署，熟悉Git版本控制工具。","1.公司产品的前后端服务设计与开发，编写高质量、可扩展的Python代码，确保系统的稳定和性能；
2.对现有系统进行性能调优、Bug修复和架构升级，解决开发过程中的技术难题；
3.撰写清晰的技术文档，配合团队项目完成相关开发任务",,Python|SQL|MySQL|PostgreSQL|数据建模|Linux|Git|Flask|FastAPI|Django,Python|SQL|MySQL|PostgreSQL|数据建模|Linux|Git|Flask|FastAPI|Django,Python|SQL|MySQL|PostgreSQL|数据建模|Linux|Git|Flask|FastAPI|Django,Python=>编程语言 || SQL=>查询语言 || MySQL=>数据库 || PostgreSQL=>数据库 || 数据建模=>数据工程 || Linux=>操作系统 || Git=>开发工具 || Flask=>Web框架 || FastAPI=>Web框架 || Django=>Web框架,"Python=>1.计算机相关专业本科及以上学历，且有Python开发的项目经验； || SQL=>3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力； || MySQL=>3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力； || PostgreSQL=>3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力； || 数据建模=>3.熟悉至少一种关系型数据库（如MySQL/PostgreSQL）的使用，具备基本的数据建模和SQL调优能力； || Linux=>4.熟练使用Linux系统进行开发部署，熟悉Git版本控制工具。 || Git=>4.熟练使用Linux系统进行开发部署，熟悉Git版本控制工具。 || Flask=>2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景； || FastAPI=>2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景； || Django=>2.熟练掌握Python编程语言，熟悉至少一种Python Web框架（如Django, Flask, FastAPI），了解框架的优缺点及适用场景；",requirement_text,
4,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,上海,31,XbPZhVazCyptnsgeA7yLw3,https://www.ncss.cn/student/jobs/XbPZhVazCyptnsgeA7yLw3/detail.html,2026-06-24T09:20:18.472600,fdbed92eb343d3a1,6ed2968d28bd9416,Python开发工程师,北京外企德科人力资源人力资源服务上海有限公司,上海,,,,,12,,不限,,,,,未说明,全职,,,其他,2026-05-22,1779390015000,,,not_provided,计算机|软件工程,计算机类|软件工程,计算机类=>工学 || 软件工程=>工学,要求,【任职要求】 ***统招本科及以上学历，计算机、软件工程、通信、电子、网络等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"【岗位职责】 负责Python相关系统的架构设计与开发迭代，参与核心模块的代码实现与维护； 参与技术方案设计，保障系统在高并发、高可用场景下的性能与可扩展性； 协同产品、前端、测试等团队完成需求梳理、模块开发与集成测试，确保高质量交付； 持续优化系统稳定性与安全性，编写高质量、可维护的代码，推动技术规范落地； 支持大模型评测项目，包括评测链路开发与优化、评测平台功能开发、评测数据加工处理与分析、内外部大模型部署及接入等工作（视具体业务方向而定）。
【任职要求】 ***统招本科及以上学历，计算机、软件工程、通信、电子、网络等相关专业； 熟练掌握Python语言，熟悉常用开发框架（如Django、Flask等）及开发工具，具备良好的编程习惯与代码规范意识； 熟悉Linux操作系统及常用命令，掌握Shell脚本编写，具备Linux环境下的开发与调试能力； 理解常用通信协议（如TCP/IP、CAN、Modbus等），熟悉多线程、网络编程等基础知识； 具备扎实的计算机基础，掌握数据结构、算法、操作系统等核心知识； 具备良好的问题分析与解决能力，能够独立完成模块开发与问题排查； 具有良好的沟通能力与团队协作意识，对技术有激情，乐于钻研，能快速掌握新技术。
【加分项】 了解嵌入式开发、FreeRTOS等操作系统或驱动开发者优先； 有机器学习、大模型（如ChatGPT等）相关经验者优先； 熟悉常用的软件架构模式、编程编译工具及开源软件原理者优先； 参与过开源项目或核心系统建设者优先； 具备多语言开发能力（如Java、C/C++、Go、Java script等）者优先。
【薪资与福利待遇】 薪资结构：具有市场竞争力的薪资体系，根据技术面试定级定薪，待遇优于同行业水平；年终奖根据部门及个人绩效评定； 六险一金：入职即缴纳六险一金，保障全面； 其他福利：年度体检、免费夜宵、下午茶、加班补助、班车服务等（视具体园区与岗位而定）。
【工作地点】 北京、上海、深圳、东莞、苏州、杭州、西安、成都、南京、武汉、长沙、济南等多地可选（根据岗位需求与个人意愿匹配）。","【岗位职责】 负责Python相关系统的架构设计与开发迭代，参与核心模块的代码实现与维护； 参与技术方案设计，保障系统在高并发、高可用场景下的性能与可扩展性； 协同产品、前端、测试等团队完成需求梳理、模块开发与集成测试，确保高质量交付； 持续优化系统稳定性与安全性，编写高质量、可维护的代码，推动技术规范落地； 支持大模型评测项目，包括评测链路开发与优化、评测平台功能开发、评测数据加工处理与分析、内外部大模型部署及接入等工作（视具体业务方向而定）。
【任职要求】 ***统招本科及以上学历，计算机、软件工程、通信、电子、网络等相关专业； 熟练掌握Python语言，熟悉常用开发框架（如Django、Flask等）及开发工具，具备良好的编程习惯与代码规范意识； 熟悉Linux操作系统及常用命令，掌握Shell脚本编写，具备Linux环境下的开发与调试能力； 理解常用通信协议（如TCP/IP、CAN、Modbus等），熟悉多线程、网络编程等基础知识； 具备扎实的计算机基础，掌握数据结构、算法、操作系统等核心知识； 具备良好的问题分析与解决能力，能够独立完成模块开发与问题排查； 具有良好的沟通能力与团队协作意识，对技术有激情，乐于钻研，能快速掌握新技术。
【加分项】 了解嵌入式开发、FreeRTOS等操作系统或驱动开发者优先； 有机器学习、大模型（如ChatGPT等）相关经验者优先； 熟悉常用的软件架构模式、编程编译工具及开源软件原理者优先； 参与过开源项目或核心系统建设者优先； 具备多语言开发能力（如Java、C/C++、Go、Java script等）者优先。
【薪资与福利待遇】 薪资结构：具有市场竞争力的薪资体系，根据技术面试定级定薪，待遇优于同行业水平；年终奖根据部门及个人绩效评定； 六险一金：入职即缴纳六险一金，保障全面； 其他福利：年度体检、免费夜宵、下午茶、加班补助、班车服务等（视具体园区与岗位而定）。
【工作地点】 北京、上海、深圳、东莞、苏州、杭州、西安、成都、南京、武汉、长沙、济南等多地可选（根据岗位需求与个人意愿匹配）。",,"【岗位职责】 负责Python相关系统的架构设计与开发迭代，参与核心模块的代码实现与维护； 参与技术方案设计，保障系统在高并发、高可用场景下的性能与可扩展性； 协同产品、前端、测试等团队完成需求梳理、模块开发与集成测试，确保高质量交付； 持续优化系统稳定性与安全性，编写高质量、可维护的代码，推动技术规范落地； 支持大模型评测项目，包括评测链路开发与优化、评测平台功能开发、评测数据加工处理与分析、内外部大模型部署及接入等工作（视具体业务方向而定）。
【任职要求】 ***统招本科及以上学历，计算机、软件工程、通信、电子、网络等相关专业； 熟练掌握Python语言，熟悉常用开发框架（如Django、Flask等）及开发工具，具备良好的编程习惯与代码规范意识； 熟悉Linux操作系统及常用命令，掌握Shell脚本编写，具备Linux环境下的开发与调试能力； 理解常用通信协议（如TCP/IP、CAN、Modbus等），熟悉多线程、网络编程等基础知识； 具备扎实的计算机基础，掌握数据结构、算法、操作系统等核心知识； 具备良好的问题分析与解决能力，能够独立完成模块开发与问题排查； 具有良好的沟通能力与团队协作意识，对技术有激情，乐于钻研，能快速掌握新技术。
【加分项】 了解嵌入式开发、FreeRTOS等操作系统或驱动开发者优先； 有机器学习、大模型（如ChatGPT等）相关经验者优先； 熟悉常用的软件架构模式、编程编译工具及开源软件原理者优先； 参与过开源项目或核心系统建设者优先； 具备多语言开发能力（如Java、C/C++、Go、Java script等）者优先。
【薪资与福利待遇】 薪资结构：具有市场竞争力的薪资体系，根据技术面试定级定薪，待遇优于同行业水平；年终奖根据部门及个人绩效评定； 六险一金：入职即缴纳六险一金，保障全面； 其他福利：年度体检、免费夜宵、下午茶、加班补助、班车",,Python|机器学习|Java|C++|Linux|Flask|TCP/IP|大语言模型|Django,,Python|机器学习|Java|C++|Linux|Flask|TCP/IP|大语言模型|Django,Python=>编程语言 || 机器学习=>人工智能 || Java=>编程语言 || C++=>编程语言 || Linux=>操作系统 || Flask=>Web框架 || TCP/IP=>网络协议 || 大语言模型=>人工智能 || Django=>Web框架,Python=>【岗位职责】 负责Python相关系统的架构设计与开发迭代，参与核心模块的代码实现与维护； || 机器学习=>有机器学习、大模型（如ChatGPT等）相关经验者优先； || Java=>具备多语言开发能力（如Java、C/C++、Go、Java script等）者优先。 || C++=>具备多语言开发能力（如Java、C/C++、Go、Java script等）者优先。 || Linux=>熟悉Linux操作系统及常用命令，掌握Shell脚本编写，具备Linux环境下的开发与调试能力； || Flask=>熟练掌握Python语言，熟悉常用开发框架（如Django、Flask等）及开发工具，具备良好的编程习惯与代码规范意识； || TCP/IP=>理解常用通信协议（如TCP/IP、CAN、Modbus等），熟悉多线程、网络编程等基础知识； || 大语言模型=>支持大模型评测项目，包括评测链路开发与优化、评测平台功能开发、评测数据加工处理与分析、内外部大模型部署及接入等工作（视具体业务方向而定）。 || Django=>熟练掌握Python语言，熟悉常用开发框架（如Django、Flask等）及开发工具，具备良好的编程习惯与代码规范意识；,job_description_fallback,requirement_section_missing|education_missing|district_city_level_only|salary_missing
5,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,上海,31,LMffiN9wwqocdDJnsK64ex,https://www.ncss.cn/student/jobs/LMffiN9wwqocdDJnsK64ex/detail.html,2026-06-24T09:20:21.242464,4e51ae5a929aa126,195e84d31df1d0ce,Python开发工程师（大模型应用研发方向）,海南宽辅私募基金管理合伙企业（有限合伙）,上海,浦东新区,9-12K/月,9000,12000,12,本科,本科及以上,应届生,应届毕业生,0,0,应届,全职,,50-99人,其他,2026-05-04,1777863600000,,,not_provided,计算机|软件工程,计算机类|软件工程,计算机类=>工学 || 软件工程=>工学,要求,计算机、软件工程及相关专业应届毕业生或初级开发者，热爱编程，对新技术（尤其是大模型应用）保持极强的敏锐度和好奇心,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"【职位描述】
如果你坚信 AI 将重塑工作方式，并且喜欢用大模型解决实际问题，这个岗位为你量身定制。你将协助提升公司整体的 IT 与业务运转效率：
AI 赋能快速开发： 熟练利用 Codex、Gemini 等顶尖 AI 编程助手与大模型能力进行敏捷开发（Vibing Code），十倍提升内部 IT 系统与运营中台的迭代速度。
智能工作流与 Agent 探索： 参与研发基于大语言模型（LLM）的自动化处理工具。利用大模型强大的理解与总结能力，探索构建 AI Agent，实现复杂金融文档的智能解析提取、业务流程调度等场景的自动化。
参与公司交易监控、数据拉取与日常运营自动化脚本的编写与维护。
【职位要求】
计算机、软件工程及相关专业应届毕业生或初级开发者，热爱编程，对新技术（尤其是大模型应用）保持极强的敏锐度和好奇心；
熟练掌握 Python 或其他主流开发语言，有独立构建完整应用或自动化脚本的经验；
关键特质： 极客精神！极其熟练地使用大模型辅助日常开发，能用优异的 Prompt 和 AI 工具链解决复杂的业务与自动化调度问题；
品行端正，做事严谨踏实，能吃苦耐劳，具备优秀的创新意识与解决开放性问题的能力。","【职位描述】
如果你坚信 AI 将重塑工作方式，并且喜欢用大模型解决实际问题，这个岗位为你量身定制。你将协助提升公司整体的 IT 与业务运转效率：
AI 赋能快速开发： 熟练利用 Codex、Gemini 等顶尖 AI 编程助手与大模型能力进行敏捷开发（Vibing Code），十倍提升内部 IT 系统与运营中台的迭代速度。
智能工作流与 Agent 探索： 参与研发基于大语言模型（LLM）的自动化处理工具。利用大模型强大的理解与总结能力，探索构建 AI Agent，实现复杂金融文档的智能解析提取、业务流程调度等场景的自动化。
参与公司交易监控、数据拉取与日常运营自动化脚本的编写与维护。
【职位要求】
计算机、软件工程及相关专业应届毕业生或初级开发者，热爱编程，对新技术（尤其是大模型应用）保持极强的敏锐度和好奇心；
熟练掌握 Python 或其他主流开发语言，有独立构建完整应用或自动化脚本的经验；
关键特质： 极客精神！极其熟练地使用大模型辅助日常开发，能用优异的 Prompt 和 AI 工具链解决复杂的业务与自动化调度问题；
品行端正，做事严谨踏实，能吃苦耐劳，具备优秀的创新意识与解决开放性问题的能力。",,"【职位描述】
如果你坚信 AI 将重塑工作方式，并且喜欢用大模型解决实际问题，这个岗位为你量身定制。你将协助提升公司整体的 IT 与业务运转效率：
AI 赋能快速开发： 熟练利用 Codex、Gemini 等顶尖 AI 编程助手与大模型能力进行敏捷开发（Vibing Code），十倍提升内部 IT 系统与运营中台的迭代速度。
智能工作流与 Agent 探索： 参与研发基于大语言模型（LLM）的自动化处理工具。利用大模型强大的理解与总结能力，探索构建 AI Agent，实现复杂金融文档的智能解析提取、业务流程调度等场景的自动化。
参与公司交易监控、数据拉取与日常运营自动化脚本的编写与维护。
【职位要求】
计算机、软件工程及相关专业应届毕业生或初级开发者，热爱编程，对新技术（尤其是大模型应用）保持极强的敏锐度和好奇心；
熟练掌握 Python 或其他主流开发语言，有独立构建完整应用或自动化脚本的经验；
关键特质： 极客精神！极其熟练地使用大模型辅助日常开发，能用优异的 Prompt 和 AI 工具链解决复杂的业务与自动化调度问题；
品行端正，做事严谨踏实，能吃苦耐劳，具备优秀的创新意识与解决开放性问题的能力。",,Python|大语言模型,,Python|大语言模型,Python=>编程语言 || 大语言模型=>人工智能,Python=>熟练掌握 Python 或其他主流开发语言，有独立构建完整应用或自动化脚本的经验； || 大语言模型=>如果你坚信 AI 将重塑工作方式，并且喜欢用大模型解决实际问题，这个岗位为你量身定制。,job_description_fallback,requirement_section_missing
