序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,杭州,330100,FHHPCCgwz6AfyHDEzHoZw1,https://www.ncss.cn/student/jobs/FHHPCCgwz6AfyHDEzHoZw1/detail.html,2026-06-24T15:18:07.301370,8911324f92605c45,a582d0bbca742273,Python开发工程师,道富信息科技（浙江）有限公司,杭州,,13-15K/月,13000,15000,12,本科,本科及以上,,,,,未说明,全职,,5000以上,,2026-05-20,1779246028000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,1.本科及以上学历，计算机、信息技术或相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责
1.深入学习并理解AI应用的技术架构及业务逻辑
2.负责应用问题排查与解决，确保系统稳定运行
3.与跨地区、跨职能团队紧密协作，优化流程与工作方式
4.为业务用户提供技术支持，解决日常使用中的问题
5.分析技术问题的根因，并推动持续优化运营模式
6.编写并维护操作流程、SOP及相关文档
任职要求
1.本科及以上学历，计算机、信息技术或相关专业
2.熟悉至少一种编程语言（优先考虑 Python）
3.对AI技术或工具有一定了解，并具备实际使用经验者优先
4.了解软件开发流程及工具（如 Git、Jira、Confluence、CI/CD、敏捷开发等）
5.具备良好的英文沟通能力（读写为主，口语加分）
6.具备优秀的问题分析与解决能力，学习能力强
7.作认真细致，有责任感，具备服务意识","岗位职责
1.深入学习并理解AI应用的技术架构及业务逻辑
2.负责应用问题排查与解决，确保系统稳定运行
3.与跨地区、跨职能团队紧密协作，优化流程与工作方式
4.为业务用户提供技术支持，解决日常使用中的问题
5.分析技术问题的根因，并推动持续优化运营模式
6.编写并维护操作流程、SOP及相关文档
任职要求
1.本科及以上学历，计算机、信息技术或相关专业
2.熟悉至少一种编程语言（优先考虑 Python）
3.对AI技术或工具有一定了解，并具备实际使用经验者优先
4.了解软件开发流程及工具（如 Git、Jira、Confluence、CI/CD、敏捷开发等）
5.具备良好的英文沟通能力（读写为主，口语加分）
6.具备优秀的问题分析与解决能力，学习能力强
7.作认真细致，有责任感，具备服务意识","1.本科及以上学历，计算机、信息技术或相关专业
2.熟悉至少一种编程语言（优先考虑 Python）
3.对AI技术或工具有一定了解，并具备实际使用经验者优先
4.了解软件开发流程及工具（如 Git、Jira、Confluence、CI/CD、敏捷开发等）
5.具备良好的英文沟通能力（读写为主，口语加分）
6.具备优秀的问题分析与解决能力，学习能力强
7.作认真细致，有责任感，具备服务意识","1.深入学习并理解AI应用的技术架构及业务逻辑
2.负责应用问题排查与解决，确保系统稳定运行
3.与跨地区、跨职能团队紧密协作，优化流程与工作方式
4.为业务用户提供技术支持，解决日常使用中的问题
5.分析技术问题的根因，并推动持续优化运营模式
6.编写并维护操作流程、SOP及相关文档",,Python|Git,Python|Git,Python|Git,Python=>编程语言 || Git=>开发工具,Python=>2.熟悉至少一种编程语言（优先考虑 Python） || Git=>4.了解软件开发流程及工具（如 Git、Jira、Confluence、CI/CD、敏捷开发等）,requirement_text,district_missing
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,杭州,330100,K1cmiPA2HMMPrym73Qjk3H,https://www.ncss.cn/student/jobs/K1cmiPA2HMMPrym73Qjk3H/detail.html,2026-06-24T15:18:11.599281,f1bdf5c36cfc46e3,f7208774a646e156,Python开发工程师,杭州米和电气设备有限公司,杭州,,12.5-12.5K/月,12500,12500,12,,不限,,,,,未说明,全职,,,其他,2026-05-09,1778263224000,,,not_provided,计算机|数学,计算机类|数学,计算机类=>工学 || 数学=>理学,优先,"\n3. 其他分配的工作"",""rzzg"":""1．***大学本科及以上学历，数学、统计、金融、计算机等相关专业毕业优先",description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"{""gwzz"":""一、岗位职责:\n1. 量化交易平台的需求分析和开发，监测量化交易平台的正常运行及异常问题反馈；\n2. 负责交易模块和回测模块的设计，算法实现，数据处理等方面的工作；\n3. 其他分配的工作"",""rzzg"":""1．***大学本科及以上学历，数学、统计、金融、计算机等相关专业毕业优先；\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）；\n3．熟悉期货和股票交易接口者优先；\n4. 良好的问题理解能力，能够理解以及处理复杂逻辑；\n5. 良好的自学能力，团队精神以及适合在高压力环境下工作;\n6. 具备主动工作的能力，积极性高\n"",""xzfl"":""具有竞争力的薪酬\n年收入15-50万\n假期补贴/高温费等\n其它福利：员工生日、零食休闲区、员工分享等""}","{""gwzz"":""一、岗位职责:\n1. 量化交易平台的需求分析和开发，监测量化交易平台的正常运行及异常问题反馈；\n2. 负责交易模块和回测模块的设计，算法实现，数据处理等方面的工作；\n3. 其他分配的工作"",""rzzg"":""1．***大学本科及以上学历，数学、统计、金融、计算机等相关专业毕业优先；\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）；\n3．熟悉期货和股票交易接口者优先；\n4. 良好的问题理解能力，能够理解以及处理复杂逻辑；\n5. 良好的自学能力，团队精神以及适合在高压力环境下工作;\n6. 具备主动工作的能力，积极性高\n"",""xzfl"":""具有竞争力的薪酬\n年收入15-50万\n假期补贴/高温费等\n其它福利：员工生日、零食休闲区、员工分享等""}",,"{""gwzz"":""一、岗位职责:\n1. 量化交易平台的需求分析和开发，监测量化交易平台的正常运行及异常问题反馈；\n2. 负责交易模块和回测模块的设计，算法实现，数据处理等方面的工作；\n3. 其他分配的工作"",""rzzg"":""1．***大学本科及以上学历，数学、统计、金融、计算机等相关专业毕业优先；\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）；\n3．熟悉期货和股票交易接口者优先；\n4. 良好的问题理解能力，能够理解以及处理复杂逻辑；\n5. 良好的自学能力，团队精神以及适合在高压力环境下工作;\n6. 具备主动工作的能力，积极性高\n"",""xzfl"":""具有竞争力的薪酬\n年收入15-50万\n假期补贴/高温费等\n其它福利：员工生日、零食休闲区、员工分享等""}",,Python|SQL|C++,,Python|SQL|C++,Python=>编程语言 || SQL=>查询语言 || C++=>编程语言,Python=>\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）； || SQL=>\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）； || C++=>\n2．具备极强的数理基础和编程能力（Python、C++、Sql等）；,job_description_fallback,requirement_section_missing|education_missing|district_missing
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,Python开发工程师,杭州,330100,G2WhvenF5ws3xRMpd9V6PM,https://www.ncss.cn/student/jobs/G2WhvenF5ws3xRMpd9V6PM/detail.html,2026-06-24T15:18:19.189046,f84a1468648454e8,85a4b39feb7c76aa,python开发工程师,杭州微风企科技有限公司,杭州,,8-10K/月,8000,10000,12,硕士,硕士及以上,,,,,未说明,全职,,100-499人,,2026-05-08,1778209224000,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"1、本科及以上学历
2、熟悉python语言，有良好语言基础，熟悉python语言高级用法，熟悉常用的类库，了解JS、CSS、HTML等前端技术者优先；
3、了解web开发常见网络协议，熟悉TCP/IP、HTTP/HTTPS等协议；
4、了解linux操作系统基本知识，熟悉常用shell命令；
5、熟悉python后端开发，熟练使用一种python后端开发框架（flask、django、tornado等）开发，了解框架源码者优先；
6、了解nginx、uwsgi、gunicorn等后端服务器软件的使用；
7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力；
8、熟悉非关系型数据库redis的使用；
9、了解常用的数据结构、算法和设计模式等，掌握git等常用辅助开发工具的的使用。","1、本科及以上学历
2、熟悉python语言，有良好语言基础，熟悉python语言高级用法，熟悉常用的类库，了解JS、CSS、HTML等前端技术者优先；
3、了解web开发常见网络协议，熟悉TCP/IP、HTTP/HTTPS等协议；
4、了解linux操作系统基本知识，熟悉常用shell命令；
5、熟悉python后端开发，熟练使用一种python后端开发框架（flask、django、tornado等）开发，了解框架源码者优先；
6、了解nginx、uwsgi、gunicorn等后端服务器软件的使用；
7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力；
8、熟悉非关系型数据库redis的使用；
9、了解常用的数据结构、算法和设计模式等，掌握git等常用辅助开发工具的的使用。",,"1、本科及以上学历
2、熟悉python语言，有良好语言基础，熟悉python语言高级用法，熟悉常用的类库，了解JS、CSS、HTML等前端技术者优先；
3、了解web开发常见网络协议，熟悉TCP/IP、HTTP/HTTPS等协议；
4、了解linux操作系统基本知识，熟悉常用shell命令；
5、熟悉python后端开发，熟练使用一种python后端开发框架（flask、django、tornado等）开发，了解框架源码者优先；
6、了解nginx、uwsgi、gunicorn等后端服务器软件的使用；
7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力；
8、熟悉非关系型数据库redis的使用；
9、了解常用的数据结构、算法和设计模式等，掌握git等常用辅助开发工具的的使用。",,Python|SQL|MySQL|Oracle|Redis|Linux|Git|Flask|TCP/IP|SQL Server|Django|HTML/CSS|Nginx,,Python|SQL|MySQL|Oracle|Redis|Linux|Git|Flask|TCP/IP|SQL Server|Django|HTML/CSS|Nginx,Python=>编程语言 || SQL=>查询语言 || MySQL=>数据库 || Oracle=>数据库 || Redis=>数据库 || Linux=>操作系统 || Git=>开发工具 || Flask=>Web框架 || TCP/IP=>网络协议 || SQL Server=>数据库 || Django=>Web框架 || HTML/CSS=>前端基础 || Nginx=>Web服务器,Python=>2、熟悉python语言，有良好语言基础，熟悉python语言高级用法，熟悉常用的类库，了解JS、CSS、HTML等前端技术者优先； || SQL=>7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力； || MySQL=>7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力； || Oracle=>7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力； || Redis=>8、熟悉非关系型数据库redis的使用； || Linux=>4、了解linux操作系统基本知识，熟悉常用shell命令； || Git=>9、了解常用的数据结构、算法和设计模式等，掌握git等常用辅助开发工具的的使用。 || Flask=>5、熟悉python后端开发，熟练使用一种python后端开发框架（flask、django、tornado等）开发，了解框架源码者优先； || TCP/IP=>3、了解web开发常见网络协议，熟悉TCP/IP、HTTP/HTTPS等协议； || SQL Server=>7、熟悉任意一种关系型数据库(mysql、SQL server、Oracle)的使用，必须具备实际编写SQL的能力； || Django=>5、熟悉python后端开发，熟练使用一种python后端开发框架（flask、django、tornado等）开发，了解框架源码者优先； || HTML/CSS=>2、熟悉python语言，有良好语言基础，熟悉python语言高级用法，熟悉常用的类库，了解JS、CSS、HTML等前端技术者优先； || Nginx=>6、了解nginx、uwsgi、gunicorn等后端服务器软件的使用；,job_description_fallback,requirement_section_missing|major_missing|district_missing
