序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,重庆,50,Ps9wNaxXJ8kWA8W95hY3Df,https://www.ncss.cn/student/jobs/Ps9wNaxXJ8kWA8W95hY3Df/detail.html,2026-06-23T10:58:59.363755,8d8b4e7e5b402588,01ad466c8e4d7031,数据分析师-实习生,重庆先享智能科技有限公司,重庆,,3-3K/月,3000,3000,12,大专,专科及以上,,,,,未说明,实习,,50-99人,,2026-06-17,1781665224000,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"数据分析实习生【27届】，提供转正机会！
（仅支持线下面试，base地重庆，不在重庆勿扰，谢谢）
重庆先享智能科技有限公司是专注智能风控数据服务的科技企业，运用规则引擎、大模型解析支付流水，为金融、租赁等机构提供贷前审核、信用评估、风险监控等解决方案，已服务超 3000 家机构，助力客户降逾期、提效率。
岗位职责：
1. 日常数据处理：基于低代码平台获取数据，从海量流水中根据筛选出疑似风控相关的目标数据。
2. 品牌情报溯源：对数据进行逆向追溯。通过网络搜索、公开信息查询，锁定其背后的品牌名称、平台类型及关联信息。
3. 非结构化信息转化：从外部的截图、域名、散乱名称等，锁定其背后的品牌名与交易流水。
4. 规则录入：在低代码平台上，根据筛选出的数据特征，完成信息的配置与录入。
任职要求：
1. 学历/背景，大专及以上；
2. 擅长处理大量数据，但要求对数字和信息极度敏感，有“破案”般的求知欲；
3. 熟练使用互联网搜索工具，能从碎片信息中拼凑出真相；
4. 具备基础的计算机操作能力（会使用 Excel，能理解简单的逻辑判断）；
5. 工作极其细心，对数据录入的准确性有强迫症。
加分项（非硬性）：
1.了解基本的 SQL 或 Python 运行逻辑；
2.有信贷、反欺诈或电商客服、审核经验。
工作时间：9：30-18：30，周末及法定节日正常休息！！
【岗位薪资及福利】:
1.薪资100-130元/天 
2. 餐补+下午茶
3. 公司工作氛围融洽，扁平化管理
4. 园区环境优美，轻轨9号线、10号线可直达，出行方便","数据分析实习生【27届】，提供转正机会！
（仅支持线下面试，base地重庆，不在重庆勿扰，谢谢）
重庆先享智能科技有限公司是专注智能风控数据服务的科技企业，运用规则引擎、大模型解析支付流水，为金融、租赁等机构提供贷前审核、信用评估、风险监控等解决方案，已服务超 3000 家机构，助力客户降逾期、提效率。
岗位职责：
1. 日常数据处理：基于低代码平台获取数据，从海量流水中根据筛选出疑似风控相关的目标数据。
2. 品牌情报溯源：对数据进行逆向追溯。通过网络搜索、公开信息查询，锁定其背后的品牌名称、平台类型及关联信息。
3. 非结构化信息转化：从外部的截图、域名、散乱名称等，锁定其背后的品牌名与交易流水。
4. 规则录入：在低代码平台上，根据筛选出的数据特征，完成信息的配置与录入。
任职要求：
1. 学历/背景，大专及以上；
2. 擅长处理大量数据，但要求对数字和信息极度敏感，有“破案”般的求知欲；
3. 熟练使用互联网搜索工具，能从碎片信息中拼凑出真相；
4. 具备基础的计算机操作能力（会使用 Excel，能理解简单的逻辑判断）；
5. 工作极其细心，对数据录入的准确性有强迫症。
加分项（非硬性）：
1.了解基本的 SQL 或 Python 运行逻辑；
2.有信贷、反欺诈或电商客服、审核经验。
工作时间：9：30-18：30，周末及法定节日正常休息！！
【岗位薪资及福利】:
1.薪资100-130元/天 
2. 餐补+下午茶
3. 公司工作氛围融洽，扁平化管理
4. 园区环境优美，轻轨9号线、10号线可直达，出行方便","1. 学历/背景，大专及以上；
2. 擅长处理大量数据，但要求对数字和信息极度敏感，有“破案”般的求知欲；
3. 熟练使用互联网搜索工具，能从碎片信息中拼凑出真相；
4. 具备基础的计算机操作能力（会使用 Excel，能理解简单的逻辑判断）；
5. 工作极其细心，对数据录入的准确性有强迫症。
加分项（非硬性）：
1.了解基本的 SQL 或 Python 运行逻辑；
2.有信贷、反欺诈或电商客服、审核经验。
工作时间：9：30-18：30，周末及法定节日正常休息！！
【岗位薪资及福利】:
1.薪资100-130元/天 
2. 餐补+下午茶
3. 公司工作氛围融洽，扁平化管理
4. 园区环境优美，轻轨9号线、10号线可直达，出行方便","1. 日常数据处理：基于低代码平台获取数据，从海量流水中根据筛选出疑似风控相关的目标数据。
2. 品牌情报溯源：对数据进行逆向追溯。通过网络搜索、公开信息查询，锁定其背后的品牌名称、平台类型及关联信息。
3. 非结构化信息转化：从外部的截图、域名、散乱名称等，锁定其背后的品牌名与交易流水。
4. 规则录入：在低代码平台上，根据筛选出的数据特征，完成信息的配置与录入",,Python|SQL|Excel|大语言模型,Python|SQL|Excel,Python|SQL|Excel,Python=>编程语言 || SQL=>查询语言 || Excel=>办公与分析工具,Python=>1.了解基本的 SQL 或 Python 运行逻辑； || SQL=>1.了解基本的 SQL 或 Python 运行逻辑； || Excel=>4. 具备基础的计算机操作能力（会使用 Excel，能理解简单的逻辑判断）；,requirement_text,major_missing|district_city_level_only
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,重庆,50,TByp7L11Fk3CBGJ85JJNwA,https://www.ncss.cn/student/jobs/TByp7L11Fk3CBGJ85JJNwA/detail.html,2026-06-23T10:59:00.844538,20013e82b8821a5d,f603078ece31abb9,医药专利信息数据分析师,重庆康洲大数据(集团)有限公司,重庆,,15-15K/月,15000,15000,12,,不限,"有数据分析、信息管理系统或知识库构建相关的项目/实习经验。\n3、技能：熟悉至少一种主流专利检索平台（如PatSnap）；有Python、SQL等数据处理经验。\n4、研究：参与过药物研发相关课题，或有科研论文、专利撰写/申请经历。"",""xzfl"":""见标签""}","有数据分析、信息管理系统或知识库构建相关的项目/实习经验。\n3、技能：熟悉至少一种主流专利检索平台（如PatSnap）；有Python、SQL等数据处理经验。\n4、研究：参与过药物研发相关课题，或有科研论文、专利撰写/申请经历。"",""xzfl"":""见标签""}",,,其他,实习,,,,2026-05-08,1778176838000,,,not_provided,,,,未说明,""",""rzzg"":""1、教育背景：985/211院校，药学、药物化学等相关专业本科及以上学历，对药物研发流程、靶点与适应症有扎实基础",not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"{""gwzz"":""1、数据平台支持与学习：参与医药专利数据库的规划、迭代与日常维护，学习并应用数据治理流程，协助完成对全球专利、药品及临床试验等数据的收集、清洗与结构化处理。\n2、专利分析基础与提升：在指导下，进行专利检索、技术全景初步分析及竞争情报监控。学习从专利文献中提取关键技术与法律信息，并参与撰写分析报告，为研发与投资决策提供信息支持。\n3、智能化技术探索：接触并学习人工智能、大语言模型在专利数据挖掘、自动化解读与知识图谱构建中的应用，参与相关创新项目的初步工作。"",""rzzg"":""1、教育背景：985/211院校，药学、药物化学等相关专业本科及以上学历，对药物研发流程、靶点与适应症有扎实基础。\n2、专利认知与学习力：对知识产权有认知和兴趣，具备快速学习能力，能够熟悉中、美、欧等主要专利体系。\n3、数据思维与工具基础：逻辑清晰，具备数据敏感性。至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。\n4、信息检索与语言：优秀的文献检索与阅读能力，英语六级以上，能流畅阅读英文科技文献与专利原文。\n5、综合素质：具备出色的分析、文字表达、沟通协作能力，责任心强，注重细节。\n加分项：\n1、资质：通过法律职业资格考试相关科目，或拥有专利代理师资格。\n2、经验：有数据分析、信息管理系统或知识库构建相关的项目/实习经验。\n3、技能：熟悉至少一种主流专利检索平台（如PatSnap）；有Python、SQL等数据处理经验。\n4、研究：参与过药物研发相关课题，或有科研论文、专利撰写/申请经历。"",""xzfl"":""见标签""}","{""gwzz"":""1、数据平台支持与学习：参与医药专利数据库的规划、迭代与日常维护，学习并应用数据治理流程，协助完成对全球专利、药品及临床试验等数据的收集、清洗与结构化处理。\n2、专利分析基础与提升：在指导下，进行专利检索、技术全景初步分析及竞争情报监控。学习从专利文献中提取关键技术与法律信息，并参与撰写分析报告，为研发与投资决策提供信息支持。\n3、智能化技术探索：接触并学习人工智能、大语言模型在专利数据挖掘、自动化解读与知识图谱构建中的应用，参与相关创新项目的初步工作。"",""rzzg"":""1、教育背景：985/211院校，药学、药物化学等相关专业本科及以上学历，对药物研发流程、靶点与适应症有扎实基础。\n2、专利认知与学习力：对知识产权有认知和兴趣，具备快速学习能力，能够熟悉中、美、欧等主要专利体系。\n3、数据思维与工具基础：逻辑清晰，具备数据敏感性。至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。\n4、信息检索与语言：优秀的文献检索与阅读能力，英语六级以上，能流畅阅读英文科技文献与专利原文。\n5、综合素质：具备出色的分析、文字表达、沟通协作能力，责任心强，注重细节。\n加分项：\n1、资质：通过法律职业资格考试相关科目，或拥有专利代理师资格。\n2、经验：有数据分析、信息管理系统或知识库构建相关的项目/实习经验。\n3、技能：熟悉至少一种主流专利检索平台（如PatSnap）；有Python、SQL等数据处理经验。\n4、研究：参与过药物研发相关课题，或有科研论文、专利撰写/申请经历。"",""xzfl"":""见标签""}",,"{""gwzz"":""1、数据平台支持与学习：参与医药专利数据库的规划、迭代与日常维护，学习并应用数据治理流程，协助完成对全球专利、药品及临床试验等数据的收集、清洗与结构化处理。\n2、专利分析基础与提升：在指导下，进行专利检索、技术全景初步分析及竞争情报监控。学习从专利文献中提取关键技术与法律信息，并参与撰写分析报告，为研发与投资决策提供信息支持。\n3、智能化技术探索：接触并学习人工智能、大语言模型在专利数据挖掘、自动化解读与知识图谱构建中的应用，参与相关创新项目的初步工作。"",""rzzg"":""1、教育背景：985/211院校，药学、药物化学等相关专业本科及以上学历，对药物研发流程、靶点与适应症有扎实基础。\n2、专利认知与学习力：对知识产权有认知和兴趣，具备快速学习能力，能够熟悉中、美、欧等主要专利体系。\n3、数据思维与工具基础：逻辑清晰，具备数据敏感性。至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。\n4、信息检索与语言：优秀的文献检索与阅读能力，英语六级以上，能流畅阅读英文科技文献与专利原文。\n5、综合素质：具备出色的分析、文字表达、沟通协作能力，责任心强，注重细节。\n加分项：\n1、资质：通过法律职业资格考试相关科目，或拥有专利代理师资格。\n2、经验：有数据分析、信息管理系统或知识库构建相关的项目/实习经验。\n3、技能：熟悉至少一种主流专利检索平台（如PatSnap）；有Python、SQL等数据处理经验。\n4、研究：参与过药物研发相关课题，或有科研论文、专利撰写/申请经历。"",""xzfl"":""见标签""}",,Python|SQL|Excel|数据挖掘|数据治理|大语言模型,,Python|SQL|Excel|数据挖掘|数据治理|大语言模型,Python=>编程语言 || SQL=>查询语言 || Excel=>办公与分析工具 || 数据挖掘=>数据分析方法 || 数据治理=>数据工程 || 大语言模型=>人工智能,"Python=>至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。 || SQL=>至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。 || Excel=>至少能熟练使用Excel，并有学习SQL、Python等工具的意愿和能力。 || 数据挖掘=>\n3、智能化技术探索：接触并学习人工智能、大语言模型在专利数据挖掘、自动化解读与知识图谱构建中的应用，参与相关创新项目的初步工作。 || 数据治理=>{""gwzz"":""1、数据平台支持与学习：参与医药专利数据库的规划、迭代与日常维护，学习并应用数据治理流程，协助完成对全球专利、药品及临床试验等数据的收集、清洗与结构化处理。 || 大语言模型=>\n3、智能化技术探索：接触并学习人工智能、大语言模型在专利数据挖掘、自动化解读与知识图谱构建中的应用，参与相关创新项目的初步工作。",job_description_fallback,requirement_section_missing|major_missing|education_missing|district_city_level_only
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,重庆,50,MMAqmP1kPAfsbJECgb1dhL,https://www.ncss.cn/student/jobs/MMAqmP1kPAfsbJECgb1dhL/detail.html,2026-06-23T10:59:05.314964,082992523a43574a,9da93bc13b685ca3,经营数据分析师,马上消费金融股份有限公司,重庆,渝北区,,,,12,硕士,硕士及以上,,,,,未说明,全职,,1000-4999人,,2024-07-19,1721368464535,,,not_provided,统计学|数学,统计学|数学,统计学=>理学 || 数学=>理学,优先,1、硕士学历，数学统计学等相关专业优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位要求：
1、硕士学历，数学统计学等相关专业优先。
2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件；
3、逻辑性强、理解能力强， 熟悉常用数据分析方法，熟悉基本统计算法，如决策树、逻辑回归等；
4、具有良好的抗压能力、沟通协作能力、表达能力。","岗位要求：
1、硕士学历，数学统计学等相关专业优先。
2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件；
3、逻辑性强、理解能力强， 熟悉常用数据分析方法，熟悉基本统计算法，如决策树、逻辑回归等；
4、具有良好的抗压能力、沟通协作能力、表达能力。","1、硕士学历，数学统计学等相关专业优先。
2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件；
3、逻辑性强、理解能力强， 熟悉常用数据分析方法，熟悉基本统计算法，如决策树、逻辑回归等；
4、具有良好的抗压能力、沟通协作能力、表达能力。",岗位要求：,,Python|SQL|R,Python|SQL|R,Python|SQL|R,Python=>编程语言 || SQL=>查询语言 || R=>编程语言,Python=>2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件； || SQL=>2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件； || R=>2、熟悉 SQL、Python、R 等分析工具， 熟练掌握常用办公软件；,requirement_text,salary_missing
