序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,成都,510100,ESs5CXwqyk8ftAuSzCayCT,https://www.ncss.cn/student/jobs/ESs5CXwqyk8ftAuSzCayCT/detail.html,2026-06-24T16:08:27.255051,d9233e0b75598739,dcf422b637c9fa3c,数据分析师（双休，6000+）,上海光速蜗牛电子商务有限公司,成都,,6-12K/月,6000,12000,12,大专,专科及以上,应届生,应届生,0,0,应届,全职,,100-499人,民营企业,2026-06-23,1782195888662,,,not_provided,计算机|统计学|数学|电子商务,计算机类|统计学|数学|电子商务,计算机类=>工学 || 统计学=>理学 || 数学=>理学 || 电子商务=>管理学,优先,- 学历要求：大专及以上学历，统计学、数学、计算机、电子商务等相关专业优先，有电商行业数据分析师经验者优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"【岗位职责】
- 负责电商平台（店铺、推广、活动等）核心数据监测、收集与整理，搭建基础数据报表，确保数据准确、及时呈现；
- 分析店铺流量、转化、客单价、复购率等核心指标，挖掘数据背后的经营问题与优化空间，输出可落地的分析报告；
- 配合运营、推广等部门，提供数据支持，参与活动复盘、推广效果分析，助力优化运营策略、提升业务业绩；
- 跟踪行业数据、竞品动态，提炼有效信息，为公司产品选品、定价、运营决策提供数据参考；
- 维护数据统计工具，优化数据统计流程，提升数据处理效率。
【任职要求】
- 学历要求：大专及以上学历，统计学、数学、计算机、电子商务等相关专业优先，有电商行业数据分析师经验者优先；
- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先；
- 能力要求：具备较强的逻辑思维、数据分析能力和问题解决能力，对数字敏感，能快速捕捉数据异常并分析原因；
- 素养要求：工作认真负责、严谨细致，具备良好的沟通协调能力和团队协作意识，能独立完成数据分析任务；
- 无经验者可接受应届生，公司提供相关培训，愿意深耕电商数据领域者优先。
【薪资福利】
- 薪资范围：6000-8000元/月（根据学历、经验可面议，能力突出者薪资可上浮）；
- 基础福利：五险一金（入职即缴）+ 年终奖（根据公司业绩及个人表现发放）；
- 作息制度：周末双休，法定节假日正常休假，不加班（特殊情况加班可调休）；
- 其他福利：节日福利、带薪年假、员工体检、定期团建、员工内购优惠、岗前培训+在职晋升通道。","【岗位职责】
- 负责电商平台（店铺、推广、活动等）核心数据监测、收集与整理，搭建基础数据报表，确保数据准确、及时呈现；
- 分析店铺流量、转化、客单价、复购率等核心指标，挖掘数据背后的经营问题与优化空间，输出可落地的分析报告；
- 配合运营、推广等部门，提供数据支持，参与活动复盘、推广效果分析，助力优化运营策略、提升业务业绩；
- 跟踪行业数据、竞品动态，提炼有效信息，为公司产品选品、定价、运营决策提供数据参考；
- 维护数据统计工具，优化数据统计流程，提升数据处理效率。
【任职要求】
- 学历要求：大专及以上学历，统计学、数学、计算机、电子商务等相关专业优先，有电商行业数据分析师经验者优先；
- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先；
- 能力要求：具备较强的逻辑思维、数据分析能力和问题解决能力，对数字敏感，能快速捕捉数据异常并分析原因；
- 素养要求：工作认真负责、严谨细致，具备良好的沟通协调能力和团队协作意识，能独立完成数据分析任务；
- 无经验者可接受应届生，公司提供相关培训，愿意深耕电商数据领域者优先。
【薪资福利】
- 薪资范围：6000-8000元/月（根据学历、经验可面议，能力突出者薪资可上浮）；
- 基础福利：五险一金（入职即缴）+ 年终奖（根据公司业绩及个人表现发放）；
- 作息制度：周末双休，法定节假日正常休假，不加班（特殊情况加班可调休）；
- 其他福利：节日福利、带薪年假、员工体检、定期团建、员工内购优惠、岗前培训+在职晋升通道。",,"【岗位职责】
- 负责电商平台（店铺、推广、活动等）核心数据监测、收集与整理，搭建基础数据报表，确保数据准确、及时呈现；
- 分析店铺流量、转化、客单价、复购率等核心指标，挖掘数据背后的经营问题与优化空间，输出可落地的分析报告；
- 配合运营、推广等部门，提供数据支持，参与活动复盘、推广效果分析，助力优化运营策略、提升业务业绩；
- 跟踪行业数据、竞品动态，提炼有效信息，为公司产品选品、定价、运营决策提供数据参考；
- 维护数据统计工具，优化数据统计流程，提升数据处理效率。
【任职要求】
- 学历要求：大专及以上学历，统计学、数学、计算机、电子商务等相关专业优先，有电商行业数据分析师经验者优先；
- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先；
- 能力要求：具备较强的逻辑思维、数据分析能力和问题解决能力，对数字敏感，能快速捕捉数据异常并分析原因；
- 素养要求：工作认真负责、严谨细致，具备良好的沟通协调能力和团队协作意识，能独立完成数据分析任务；
- 无经验者可接受应届生，公司提供相关培训，愿意深耕电商数据领域者优先。
【薪资福利】
- 薪资范围：6000-8000元/月（根据学历、经验可面议，能力突出者薪资可上浮）；
- 基础福利：五险一金（入职即缴）+ 年终奖（根据公司业绩及个人表现发放）；
- 作息制度：周末双休，法定节假日正常休假，不加班（特殊情况加班可调休）；
- 其他福利：节日福利、带薪年假、员工体检、定期团建、员工内购优惠、岗前培训+在职晋升通道。",,SQL|Tableau|Power BI|Excel|BI,,SQL|Tableau|Power BI|Excel|BI,SQL=>查询语言 || Tableau=>数据可视化 || Power BI=>数据可视化 || Excel=>办公与分析工具 || BI=>数据分析方法,SQL=>- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先； || Tableau=>- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先； || Power BI=>- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先； || Excel=>- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先； || BI=>- 技能要求：熟练使用Excel（数据透视表、函数），掌握至少一种数据工具（如SQL、Tableau、Power BI等）者优先；,job_description_fallback,requirement_section_missing|district_missing
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,成都,510100,5ufRnuhQp5u2Q99ViRKLNN,https://www.ncss.cn/student/jobs/5ufRnuhQp5u2Q99ViRKLNN/detail.html,2026-06-24T16:08:31.403565,ac59a9bad5f9eceb,fb708ce79ed447e5,游戏数据分析师（实习）,成都光子狐科技有限公司,成都,,3-4K/月,3000,4000,12,本科,本科及以上,,,,,未说明,实习,,100-499人,其他,2026-06-23,1782183601000,,,not_provided,计算机|数学,计算机类|数学,计算机类=>工学 || 数学=>理学,优先,27届统招本科学历及以上，数学/统计/计算机相关专业优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"关于这个岗位（请仔细阅读）：
我们希望通过这次实习招聘找到长期合作的伙伴，会提供转正HC。
所以我们希望：
拥有长期且稳定的工作时间，我们不接受短期实习
热衷于游戏行业和数据岗位，有坚定的想法从事这份工作
岗位职责：
熟悉项目各种数据指标，能够敏锐且及时得感知指标异常，并针对相关问题展开深度分析工作；
熟悉项目业务情况，为产品设计、优化以及问题排查提供数据支持；
挖掘用户数据，找到合理的、有价值的策略方案；
维护公司内部数据工具，提升产品人员的数据意识和数据认知；
设计AB测试方案，输出可落地优化建议；
沉淀数据方法论，提升团队整体数据驱动能力。
岗位要求：
27届统招本科学历及以上，数学/统计/计算机相关专业优先；
对使用SQL、Python或其他数据分析工具作有一定经验；
掌握基本统计知识和相关模型原理，有较强的数据建模能力和统计分析能力；
学习、沟通能力强，对数据敏感且严谨，有较强的数据洞察力。","关于这个岗位（请仔细阅读）：
我们希望通过这次实习招聘找到长期合作的伙伴，会提供转正HC。
所以我们希望：
拥有长期且稳定的工作时间，我们不接受短期实习
热衷于游戏行业和数据岗位，有坚定的想法从事这份工作
岗位职责：
熟悉项目各种数据指标，能够敏锐且及时得感知指标异常，并针对相关问题展开深度分析工作；
熟悉项目业务情况，为产品设计、优化以及问题排查提供数据支持；
挖掘用户数据，找到合理的、有价值的策略方案；
维护公司内部数据工具，提升产品人员的数据意识和数据认知；
设计AB测试方案，输出可落地优化建议；
沉淀数据方法论，提升团队整体数据驱动能力。
岗位要求：
27届统招本科学历及以上，数学/统计/计算机相关专业优先；
对使用SQL、Python或其他数据分析工具作有一定经验；
掌握基本统计知识和相关模型原理，有较强的数据建模能力和统计分析能力；
学习、沟通能力强，对数据敏感且严谨，有较强的数据洞察力。","27届统招本科学历及以上，数学/统计/计算机相关专业优先；
对使用SQL、Python或其他数据分析工具作有一定经验；
掌握基本统计知识和相关模型原理，有较强的数据建模能力和统计分析能力；
学习、沟通能力强，对数据敏感且严谨，有较强的数据洞察力。","熟悉项目各种数据指标，能够敏锐且及时得感知指标异常，并针对相关问题展开深度分析工作；
熟悉项目业务情况，为产品设计、优化以及问题排查提供数据支持；
挖掘用户数据，找到合理的、有价值的策略方案；
维护公司内部数据工具，提升产品人员的数据意识和数据认知；
设计AB测试方案，输出可落地优化建议；
沉淀数据方法论，提升团队整体数据驱动能力",,Python|SQL|数据建模|统计分析|A/B测试,Python|SQL|数据建模|统计分析,Python|SQL|数据建模|统计分析,Python=>编程语言 || SQL=>查询语言 || 数据建模=>数据工程 || 统计分析=>数据分析方法,Python=>对使用SQL、Python或其他数据分析工具作有一定经验； || SQL=>对使用SQL、Python或其他数据分析工具作有一定经验； || 数据建模=>掌握基本统计知识和相关模型原理，有较强的数据建模能力和统计分析能力； || 统计分析=>掌握基本统计知识和相关模型原理，有较强的数据建模能力和统计分析能力；,requirement_text,district_missing
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,成都,510100,8EAaJJLygV4efhyQwTF9KR,https://www.ncss.cn/student/jobs/8EAaJJLygV4efhyQwTF9KR/detail.html,2026-06-24T16:08:38.990385,3975aa9b0650a582,246c0ea19cab58d1,数据分析师,四川艺境坊教育咨询有限公司,成都,,4-6K/月,4000,6000,12,本科,本科及以上,应届生,应届生,0,0,应届,全职,,1-49人,民营企业,2026-06-04,1780545600000,,,confirmed_by_description,计算机|统计学|数学|数据科学|大数据技术,计算机类|统计学|数学|数据科学|大数据技术,计算机类=>工学 || 统计学=>理学 || 数学=>理学 || 数据科学=>工学 || 大数据技术=>工学,要求,任职要求为本科及以上学历，数据科学与大数据技术、统计学、计算机、数学等相关专业,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,数据分析师，主要负责公司业务数据的收集、整理与分析，包括学员报名、课程学习、市场推广等数据的统计与可视化；通过分析数据形成报表，为教学优化、运营决策和市场策略提供数据支持；同时协助搭建基础数据看板，优化数据管理流程，提升业务数据的使用效率。任职要求为本科及以上学历，数据科学与大数据技术、统计学、计算机、数学等相关专业；熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先；具备数据敏感度和逻辑分析能力，细心严谨，有责任心，应届生也可培养。,数据分析师，主要负责公司业务数据的收集、整理与分析，包括学员报名、课程学习、市场推广等数据的统计与可视化；通过分析数据形成报表，为教学优化、运营决策和市场策略提供数据支持；同时协助搭建基础数据看板，优化数据管理流程，提升业务数据的使用效率。任职要求为本科及以上学历，数据科学与大数据技术、统计学、计算机、数学等相关专业；熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先；具备数据敏感度和逻辑分析能力，细心严谨，有责任心，应届生也可培养。,为本科及以上学历，数据科学与大数据技术、统计学、计算机、数学等相关专业；熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先；具备数据敏感度和逻辑分析能力，细心严谨，有责任心，应届生也可培养。,数据分析师，主要负责公司业务数据的收集、整理与分析，包括学员报名、课程学习、市场推广等数据的统计与可视化；通过分析数据形成报表，为教学优化、运营决策和市场策略提供数据支持；同时协助搭建基础数据看板，优化数据管理流程，提升业务数据的使用效率。任职要求,,Python|SQL|Excel,Python|SQL|Excel,Python|SQL|Excel,Python=>编程语言 || SQL=>查询语言 || Excel=>办公与分析工具,Python=>熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先； || SQL=>熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先； || Excel=>熟悉 Excel，了解 SQL 或 Python 数据分析工具者优先；,requirement_text,district_missing
4,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,成都,510100,7pxU1iYwjpcfvkp6TZDR6R,https://www.ncss.cn/student/jobs/7pxU1iYwjpcfvkp6TZDR6R/detail.html,2026-06-24T16:09:40.949567,2f11db66ee57248f,5e133435ce827d1b,数据分析师,成都佳果互动科技有限公司,成都,,5-8K/月,5000,8000,12,本科,本科及以上,,,,,未说明,全职,,1-49人,民营企业,2026-04-30,1777538264746,,,not_provided,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"数据收集整理
用 Python 从数据库、文件系统等收集业务、市场、用户等多源数据，如电商销售和社交媒体评论数据。
借助 pandas 库清洗数据，处理缺失、重复、异常值。结合 SQL 整合不同格式数据，形成标准数据集。
数据分析建模
用 numpy、pandas 库探索数据，计算指标、绘图了解数据特征。
选 scikit-learn 等库建预测、分类模型，如预测销售、做客户分类，训练调优确保模型准确。
深入分析业务数据，挖掘关键信息支持决策，像通过用户行为模型找留存购买因素。
数据可视化
用 matplotlib 等库将分析结果做成柱状图等直观图表和看板，方便理解。
用 Bokeh 等框架开发交互式应用，助业务团队按需探索数据。
报告撰写沟通
定期写分析报告，说明背景、目标、结果及建议，配图表增强可读性。
与业务部门沟通，将业务问题转为分析任务，反馈结果助其决策，如为市场推广做用户画像。
参与跨部门会议，汇报进展成果，共商项目优化。
知识技能提升
关注行业新技术、工具，学新 Python 库和算法并应用。
参加内外部培训、研讨会，与同行交流拓宽视野。
针对难题查阅文档、论文找解决方案，积累实践能力。","数据收集整理
用 Python 从数据库、文件系统等收集业务、市场、用户等多源数据，如电商销售和社交媒体评论数据。
借助 pandas 库清洗数据，处理缺失、重复、异常值。结合 SQL 整合不同格式数据，形成标准数据集。
数据分析建模
用 numpy、pandas 库探索数据，计算指标、绘图了解数据特征。
选 scikit-learn 等库建预测、分类模型，如预测销售、做客户分类，训练调优确保模型准确。
深入分析业务数据，挖掘关键信息支持决策，像通过用户行为模型找留存购买因素。
数据可视化
用 matplotlib 等库将分析结果做成柱状图等直观图表和看板，方便理解。
用 Bokeh 等框架开发交互式应用，助业务团队按需探索数据。
报告撰写沟通
定期写分析报告，说明背景、目标、结果及建议，配图表增强可读性。
与业务部门沟通，将业务问题转为分析任务，反馈结果助其决策，如为市场推广做用户画像。
参与跨部门会议，汇报进展成果，共商项目优化。
知识技能提升
关注行业新技术、工具，学新 Python 库和算法并应用。
参加内外部培训、研讨会，与同行交流拓宽视野。
针对难题查阅文档、论文找解决方案，积累实践能力。",,"数据收集整理
用 Python 从数据库、文件系统等收集业务、市场、用户等多源数据，如电商销售和社交媒体评论数据。
借助 pandas 库清洗数据，处理缺失、重复、异常值。结合 SQL 整合不同格式数据，形成标准数据集。
数据分析建模
用 numpy、pandas 库探索数据，计算指标、绘图了解数据特征。
选 scikit-learn 等库建预测、分类模型，如预测销售、做客户分类，训练调优确保模型准确。
深入分析业务数据，挖掘关键信息支持决策，像通过用户行为模型找留存购买因素。
数据可视化
用 matplotlib 等库将分析结果做成柱状图等直观图表和看板，方便理解。
用 Bokeh 等框架开发交互式应用，助业务团队按需探索数据。
报告撰写沟通
定期写分析报告，说明背景、目标、结果及建议，配图表增强可读性。
与业务部门沟通，将业务问题转为分析任务，反馈结果助其决策，如为市场推广做用户画像。
参与跨部门会议，汇报进展成果，共商项目优化。
知识技能提升
关注行业新技术、工具，学新 Python 库和算法并应用。
参加内外部培训、研讨会，与同行交流拓宽视野。
针对难题查阅文档、论文找解决方案，积累实践能力。",,Python|SQL|Pandas|NumPy|scikit-learn|数据可视化|Matplotlib,,Python|SQL|Pandas|NumPy|scikit-learn|数据可视化|Matplotlib,Python=>编程语言 || SQL=>查询语言 || Pandas=>数据处理库 || NumPy=>数据处理库 || scikit-learn=>机器学习框架 || 数据可视化=>数据可视化 || Matplotlib=>数据可视化,Python=>用 Python 从数据库、文件系统等收集业务、市场、用户等多源数据，如电商销售和社交媒体评论数据。 || SQL=>结合 SQL 整合不同格式数据，形成标准数据集。 || Pandas=>借助 pandas 库清洗数据，处理缺失、重复、异常值。 || NumPy=>用 numpy、pandas 库探索数据，计算指标、绘图了解数据特征。 || scikit-learn=>选 scikit-learn 等库建预测、分类模型，如预测销售、做客户分类，训练调优确保模型准确。 || 数据可视化=>数据可视化 || Matplotlib=>用 matplotlib 等库将分析结果做成柱状图等直观图表和看板，方便理解。,job_description_fallback,requirement_section_missing|major_missing|district_missing
