序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,TcGt3xz5q83uPVcJysGgY4,https://www.ncss.cn/student/jobs/TcGt3xz5q83uPVcJysGgY4/detail.html,2026-06-23T11:20:28.108215,48dd8ed2023f413a,57e16f6701ee5075,数据分析师助理（线上）,上海盖锡信息科技有限公司,上海,浦东新区,3-4K/月,3000,4000,12,大专,专科及以上,应届生,应届毕业生,0,0,应届,实习,,50-99人,,2026-06-23,1782183645000,,,not_provided,计算机|统计学,计算机类|统计学,计算机类=>工学 || 统计学=>理学,不限_相关专业优先,专业不限（优先专业：统计学、计算机相关）熟练使用数据透视表，函数如vlookup等 || 简历+相关作品+大学专业（本科/硕士）+毕业时间+可到岗时间+实习时长+每周可实习天数,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"1、根据公司要求完成项目相关的工作(信息搜集，数据清洗，报告制作)及临时需求。
2、满足业务对数据的各类提取、 过滤、分析等需求。
3.日常的行业数据周报、月报制作整理。独立承担部分信息数据整理分析工作。
4负责为公司各部门提供基础数据查询和分析处理的支持。
5.按照领导要求，独立完成专项数据处理分析工作。
任职要求：
1、大专以上学历，欢迎优秀应届毕业生；专业不限（优先专业：统计学、计算机相关）熟练使用数据透视表，函数如vlookup等；
2、对数据敏感，逻辑思维强，注重细节，有一定数据处理工作经验；熟悉Mysql,SQL,BI等优先考虑；
3、具有较强的数据处理和分析能力，擅于对销售数据进行分析，能够全面地分析各项与零售运营相关的数据资料；
4. 逻辑思维能力强，耐心细致，有责任感，并有良好的沟通协调能力；
提供支持：
1、实习期间表现优秀者,公司提供转正机会。
简历+相关作品+大学专业（本科/硕士）+毕业时间+可到岗时间+实习时长+每周可实习天数
备注：必须熟练excel使用包括公式函数透视表等熟练掌握。否则勿投谢谢","1、根据公司要求完成项目相关的工作(信息搜集，数据清洗，报告制作)及临时需求。
2、满足业务对数据的各类提取、 过滤、分析等需求。
3.日常的行业数据周报、月报制作整理。独立承担部分信息数据整理分析工作。
4负责为公司各部门提供基础数据查询和分析处理的支持。
5.按照领导要求，独立完成专项数据处理分析工作。
任职要求：
1、大专以上学历，欢迎优秀应届毕业生；专业不限（优先专业：统计学、计算机相关）熟练使用数据透视表，函数如vlookup等；
2、对数据敏感，逻辑思维强，注重细节，有一定数据处理工作经验；熟悉Mysql,SQL,BI等优先考虑；
3、具有较强的数据处理和分析能力，擅于对销售数据进行分析，能够全面地分析各项与零售运营相关的数据资料；
4. 逻辑思维能力强，耐心细致，有责任感，并有良好的沟通协调能力；
提供支持：
1、实习期间表现优秀者,公司提供转正机会。
简历+相关作品+大学专业（本科/硕士）+毕业时间+可到岗时间+实习时长+每周可实习天数
备注：必须熟练excel使用包括公式函数透视表等熟练掌握。否则勿投谢谢","1、大专以上学历，欢迎优秀应届毕业生；专业不限（优先专业：统计学、计算机相关）熟练使用数据透视表，函数如vlookup等；
2、对数据敏感，逻辑思维强，注重细节，有一定数据处理工作经验；熟悉Mysql,SQL,BI等优先考虑；
3、具有较强的数据处理和分析能力，擅于对销售数据进行分析，能够全面地分析各项与零售运营相关的数据资料；
4. 逻辑思维能力强，耐心细致，有责任感，并有良好的沟通协调能力；
提供支持：
1、实习期间表现优秀者,公司提供转正机会。
简历+相关作品+大学专业（本科/硕士）+毕业时间+可到岗时间+实习时长+每周可实习天数
备注：必须熟练excel使用包括公式函数透视表等熟练掌握。否则勿投谢谢","1、根据公司要求完成项目相关的工作(信息搜集，数据清洗，报告制作)及临时需求。
2、满足业务对数据的各类提取、 过滤、分析等需求。
3.日常的行业数据周报、月报制作整理。独立承担部分信息数据整理分析工作。
4负责为公司各部门提供基础数据查询和分析处理的支持。
5.按照领导要求，独立完成专项数据处理分析工作。
任职要求：",,SQL|MySQL|Excel|BI,SQL|MySQL|Excel|BI,SQL|MySQL|Excel|BI,SQL=>查询语言 || MySQL=>数据库 || Excel=>办公与分析工具 || BI=>数据分析方法,"SQL=>熟悉Mysql,SQL,BI等优先考虑； || MySQL=>熟悉Mysql,SQL,BI等优先考虑； || Excel=>专业不限（优先专业：统计学、计算机相关）熟练使用数据透视表，函数如vlookup等； || BI=>熟悉Mysql,SQL,BI等优先考虑；",requirement_text,
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,JMD7CzsAac5u1RK3Tb1tGB,https://www.ncss.cn/student/jobs/JMD7CzsAac5u1RK3Tb1tGB/detail.html,2026-06-23T11:20:29.646676,e7cad1a3d37f3aab,d52cca9d23c4dae2,校招-数据分析师（研发向）,上海从鲸信息技术有限公司,上海,长宁区,20-40K/月,20000,40000,12,本科,本科及以上,,,,,未说明,校招,,500-999人,,2026-06-23,1782183626000,,,not_provided,计算机|统计学|数学,计算机类|统计学|数学,计算机类=>工学 || 统计学=>理学 || 数学=>理学,要求,1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","岗位职责
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议",,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python=>编程语言 || SQL=>查询语言 || Spark=>大数据框架 || Hadoop=>大数据框架 || 数据挖掘=>数据分析方法 || 统计分析=>数据分析方法,"Python=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || SQL=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || Spark=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || Hadoop=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || 数据挖掘=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || 统计分析=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;",requirement_text,
3,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,3w4Q2n1r1x3yhTRwMutXYD,https://www.ncss.cn/student/jobs/3w4Q2n1r1x3yhTRwMutXYD/detail.html,2026-06-23T11:20:31.214533,e7a6706aba0a9ca0,6a986168de447447,急急急-数据分析师,上海寻梦信息技术有限公司,上海,长宁区,15-30K/月,15000,30000,12,本科,本科及以上,,,,,未说明,全职,,1000-4999人,,2026-06-16,1781578801000,,,not_provided,计算机|统计学|数学,计算机类|统计学|数学,计算机类=>工学 || 统计学=>理学 || 数学=>理学,要求,1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求：
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","岗位职责：
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求：
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议",,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python=>编程语言 || SQL=>查询语言 || Spark=>大数据框架 || Hadoop=>大数据框架 || 数据挖掘=>数据分析方法 || 统计分析=>数据分析方法,"Python=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || SQL=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || Spark=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || Hadoop=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || 数据挖掘=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || 统计分析=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;",requirement_text,
4,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,3UFGrjBVFWmu2dANFSVKVp,https://www.ncss.cn/student/jobs/3UFGrjBVFWmu2dANFSVKVp/detail.html,2026-06-23T11:20:32.655044,e949c6e1ff161c60,50f582ca1355e8a6,【技术类】数据分析师,上海寻梦信息技术有限公司,上海,长宁区,25-40K/月,25000,40000,12,本科,本科及以上,,,,,未说明,全职,,1000-4999人,,2026-06-15,1781492400000,,,not_provided,计算机|统计学|数学,计算机类|统计学|数学,计算机类=>工学 || 统计学=>理学 || 数学=>理学,要求,1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","岗位职责
1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议。
任职要求
1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、2026届毕业生，本科及以上学历，计算机/数学/统计学等相关专业，热爱计算机科学和互联网技术;
2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;
3、对分析感兴趣，喜欢从数据中发现规律，探索本质;
4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先;
5、善于沟通，逻辑思维能力较强，善于学习新知识。","1、分析业务数据,通过深度挖掘数据,帮助各部门发现、分析和解决问题、优化产品需求;
2、监控和跟踪数据异常波动情况,进行探索分析和问题定位;
3、设计实验方案,评估业务策略的效果,提出改进建议;
4、负责业务相关日常报表的整理分析,对业务进行阶段性总结归纳;
5、深入理解业务,发现业务特征和潜在机会给出有效的行动建议",,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python|SQL|Spark|Hadoop|数据挖掘|统计分析,Python=>编程语言 || SQL=>查询语言 || Spark=>大数据框架 || Hadoop=>大数据框架 || 数据挖掘=>数据分析方法 || 统计分析=>数据分析方法,"Python=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || SQL=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || Spark=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || Hadoop=>4、对 Hadoop,Spark 的原理熟练掌握，并有一定的使用经验者优先; || 数据挖掘=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识; || 统计分析=>2、熟练使用 sql/python 语言等，掌握数理统计、数据挖掘等常用理论知识;",requirement_text,
5,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,21x8tgqt5dKcSssCpzMwhz,https://www.ncss.cn/student/jobs/21x8tgqt5dKcSssCpzMwhz/detail.html,2026-06-23T11:20:36.935475,66a2042e9632d1d4,1de5a2f50304789a,数据分析师,华住酒店管理有限公司,上海,嘉定区,3-5K/月,3000,5000,12,硕士,硕士及以上,,,,,未说明,全职,,5000以上,,2026-06-12,1781233200000,,,not_provided,数学,数学,数学=>理学,优先,1、研究生及以上学历，***数据分析工作经验，数学、数据、统计相关专业优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"工作内容：
1、参与对接业务方的数据分析工作，有深度分析的逻辑思维能力；
2、参与和主导数据产品的开发工作，能准确了解业务需求，并抽象到数据产品中去，同时配合研发，推动产品落地;
3、探索用户关系网络建模，并搭建流量与动态定价的收益归因模型，以支持更精细化的流量变现策略；
4、精通数据挖掘常用算法，基于华住会APP每天几十亿条埋点数据以及交易数据构建用户画像体系； 
任职要求：
1、研究生及以上学历，***数据分析工作经验，数学、数据、统计相关专业优先；
2、具备构建数据指标体系知识框架，曾有过构建指标体系经验；
3、精通数据分析方法，对数据落地到业务有一定经验，有专业的分析报告撰写能力；
4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发；
5、保持积极开放的心态，有很强的沟通表达能力、抗压能力、协调推动能力以及很强的自驱力。
6、业务的逻辑思考能力以及数据分析的方法要兼备。
PS：可自行百度【华住集团】进行企业了解。","工作内容：
1、参与对接业务方的数据分析工作，有深度分析的逻辑思维能力；
2、参与和主导数据产品的开发工作，能准确了解业务需求，并抽象到数据产品中去，同时配合研发，推动产品落地;
3、探索用户关系网络建模，并搭建流量与动态定价的收益归因模型，以支持更精细化的流量变现策略；
4、精通数据挖掘常用算法，基于华住会APP每天几十亿条埋点数据以及交易数据构建用户画像体系； 
任职要求：
1、研究生及以上学历，***数据分析工作经验，数学、数据、统计相关专业优先；
2、具备构建数据指标体系知识框架，曾有过构建指标体系经验；
3、精通数据分析方法，对数据落地到业务有一定经验，有专业的分析报告撰写能力；
4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发；
5、保持积极开放的心态，有很强的沟通表达能力、抗压能力、协调推动能力以及很强的自驱力。
6、业务的逻辑思考能力以及数据分析的方法要兼备。
PS：可自行百度【华住集团】进行企业了解。","1、研究生及以上学历，***数据分析工作经验，数学、数据、统计相关专业优先；
2、具备构建数据指标体系知识框架，曾有过构建指标体系经验；
3、精通数据分析方法，对数据落地到业务有一定经验，有专业的分析报告撰写能力；
4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发；
5、保持积极开放的心态，有很强的沟通表达能力、抗压能力、协调推动能力以及很强的自驱力。
6、业务的逻辑思考能力以及数据分析的方法要兼备。
PS：可自行百度【华住集团】进行企业了解。","1、参与对接业务方的数据分析工作，有深度分析的逻辑思维能力；
2、参与和主导数据产品的开发工作，能准确了解业务需求，并抽象到数据产品中去，同时配合研发，推动产品落地;
3、探索用户关系网络建模，并搭建流量与动态定价的收益归因模型，以支持更精细化的流量变现策略；
4、精通数据挖掘常用算法，基于华住会APP每天几十亿条埋点数据以及交易数据构建用户画像体系",,Python|SQL|数据挖掘|数据可视化,Python|SQL|数据可视化,Python|SQL|数据可视化,Python=>编程语言 || SQL=>查询语言 || 数据可视化=>数据可视化,Python=>4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发； || SQL=>4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发； || 数据可视化=>4、精通SQL，至少可以熟练使用一种数据可视化分析工具，熟练使用Python进行算法开发；,requirement_text,
6,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据分析师,上海,31,MCH4mSFR15qGX7ajtpE7bf,https://www.ncss.cn/student/jobs/MCH4mSFR15qGX7ajtpE7bf/detail.html,2026-06-23T11:20:41.316189,178c0776905ecaf5,e375e25a37094f96,风控数据分析师,上海瀛数信息科技有限公司,上海,徐汇区,4-7K/月,4000,7000,12,硕士,硕士及以上,,,,,未说明,实习,,50-99人,,2026-06-06,1780714811000,,,not_provided,计算机|统计学|数学|金融工程,计算机类|统计学|数学|金融学,计算机类=>工学 || 统计学=>理学 || 数学=>理学 || 金融学=>经济学,优先,学历与专业背景： 国内外知名院校在读本科或研究生，计算机、统计学、数学、金融工程等相关专业优先,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"关于我们
上海灜数科技是一家专注于大数据与人工智能技术应用的初创公司。我们致力于为金融、互联网等领域的头部企业提供数据驱动的决策支持服务，帮助客户提升营销效率与风险管理能力。公司核心团队成员拥有海内外顶级科技与金融公司的深厚背景。
岗位职责
数据清洗与标注：在导师指导下，对海量的、非结构化的数据（如文本、行为日志）进行清洗、整理与核心特征的标注，构建高质量的分析数据集。
情报分析与挖掘：负责对与线上信贷、金融风险等相关的公开数据与内部数据进行探索性分析，识别潜在的风险模式与用户行为规律。
策略支持与验证：协助策略分析师，整理和维护行业知识图谱，参与风控规则与模型特征的初步验证工作。
报告与文档撰写：负责撰写数据分析过程中的技术文档与初步的研究周报，沉淀团队知识资产。
任职要求
学历与专业背景： 国内外知名院校在读本科或研究生，计算机、统计学、数学、金融工程等相关专业优先。
必备技能：
精通SQL，有独立处理复杂数据集的经验。
熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。
具备良好的数据可视化能力。
核心素质：
逻辑思维严密： 具备优秀的归纳、演绎与问题拆解能力，能从复杂现象中理清头绪。
极强的学习能力： 对新知识、新工具抱有强烈的好奇心，能快速上手并解决未知问题。
认真皮实、结果导向： 工作细致耐心，能接受一定程度的重复性工作，并以高质量的产出为最终目标。做事不浮于表面，有刨根问底的精神。
实习时间： 能够保证每周5天，持续3个月以上的实习时间，长期实习者优先。
你将获得
业内顶尖导师的亲自指导： 你将直接参与公司最核心的风控策略项目，由经验丰富的行业专家手把手带领，获得远超同龄人的成长速度。
接触海量真实数据的机会： 你将有机会，处理和分析在校园内无法接触到的、PB级别的真实商业数据，并将你的分析，直接转化为可被验证的商业价值。
极具竞争力的转正机会： 对于表现优异的实习生，将有极大的机会，在毕业后获得全职offer，成为公司的核心骨干。","关于我们
上海灜数科技是一家专注于大数据与人工智能技术应用的初创公司。我们致力于为金融、互联网等领域的头部企业提供数据驱动的决策支持服务，帮助客户提升营销效率与风险管理能力。公司核心团队成员拥有海内外顶级科技与金融公司的深厚背景。
岗位职责
数据清洗与标注：在导师指导下，对海量的、非结构化的数据（如文本、行为日志）进行清洗、整理与核心特征的标注，构建高质量的分析数据集。
情报分析与挖掘：负责对与线上信贷、金融风险等相关的公开数据与内部数据进行探索性分析，识别潜在的风险模式与用户行为规律。
策略支持与验证：协助策略分析师，整理和维护行业知识图谱，参与风控规则与模型特征的初步验证工作。
报告与文档撰写：负责撰写数据分析过程中的技术文档与初步的研究周报，沉淀团队知识资产。
任职要求
学历与专业背景： 国内外知名院校在读本科或研究生，计算机、统计学、数学、金融工程等相关专业优先。
必备技能：
精通SQL，有独立处理复杂数据集的经验。
熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。
具备良好的数据可视化能力。
核心素质：
逻辑思维严密： 具备优秀的归纳、演绎与问题拆解能力，能从复杂现象中理清头绪。
极强的学习能力： 对新知识、新工具抱有强烈的好奇心，能快速上手并解决未知问题。
认真皮实、结果导向： 工作细致耐心，能接受一定程度的重复性工作，并以高质量的产出为最终目标。做事不浮于表面，有刨根问底的精神。
实习时间： 能够保证每周5天，持续3个月以上的实习时间，长期实习者优先。
你将获得
业内顶尖导师的亲自指导： 你将直接参与公司最核心的风控策略项目，由经验丰富的行业专家手把手带领，获得远超同龄人的成长速度。
接触海量真实数据的机会： 你将有机会，处理和分析在校园内无法接触到的、PB级别的真实商业数据，并将你的分析，直接转化为可被验证的商业价值。
极具竞争力的转正机会： 对于表现优异的实习生，将有极大的机会，在毕业后获得全职offer，成为公司的核心骨干。","学历与专业背景： 国内外知名院校在读本科或研究生，计算机、统计学、数学、金融工程等相关专业优先。
必备技能：
精通SQL，有独立处理复杂数据集的经验。
熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。
具备良好的数据可视化能力。
核心素质：
逻辑思维严密： 具备优秀的归纳、演绎与问题拆解能力，能从复杂现象中理清头绪。
极强的学习能力： 对新知识、新工具抱有强烈的好奇心，能快速上手并解决未知问题。
认真皮实、结果导向： 工作细致耐心，能接受一定程度的重复性工作，并以高质量的产出为最终目标。做事不浮于表面，有刨根问底的精神。
实习时间： 能够保证每周5天，持续3个月以上的实习时间，长期实习者优先。
你将获得
业内顶尖导师的亲自指导： 你将直接参与公司最核心的风控策略项目，由经验丰富的行业专家手把手带领，获得远超同龄人的成长速度。
接触海量真实数据的机会： 你将有机会，处理和分析在校园内无法接触到的、PB级别的真实商业数据，并将你的分析，直接转化为可被验证的商业价值。
极具竞争力的转正机会： 对于表现优异的实习生，将有极大的机会，在毕业后获得全职offer，成为公司的核心骨干。","数据清洗与标注：在导师指导下，对海量的、非结构化的数据（如文本、行为日志）进行清洗、整理与核心特征的标注，构建高质量的分析数据集。
情报分析与挖掘：负责对与线上信贷、金融风险等相关的公开数据与内部数据进行探索性分析，识别潜在的风险模式与用户行为规律。
策略支持与验证：协助策略分析师，整理和维护行业知识图谱，参与风控规则与模型特征的初步验证工作。
报告与文档撰写：负责撰写数据分析过程中的技术文档与初步的研究周报，沉淀团队知识资产",,Python|SQL|R|Pandas|NumPy|数据可视化,Python|SQL|R|Pandas|NumPy|数据可视化,Python|SQL|R|Pandas|NumPy|数据可视化,Python=>编程语言 || SQL=>查询语言 || R=>编程语言 || Pandas=>数据处理库 || NumPy=>数据处理库 || 数据可视化=>数据可视化,Python=>熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。 || SQL=>精通SQL，有独立处理复杂数据集的经验。 || R=>熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。 || Pandas=>熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。 || NumPy=>熟练使用Python或R进行数据分析，熟悉Pandas、NumPy等常用库。 || 数据可视化=>具备良好的数据可视化能力。,requirement_text,
