序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,机器学习工程师,广州,763,40824694716,http://jobs.zhaopin.com/CC157088920J40824694716.htm,2026-06-29T09:04:52,e48b5012dc045353,49e8cbccef395761,机器学习算法工程师（双碳 电网）,拓保软件,广州,黄埔,1.9-2.1万,19000,21000,12,本科,本科,3-5年,3-5年,3,5,区间,全职,软件/IT服务,1000-9999人,民营,2026-06-27,2026-06-27 01:57:49,,,not_provided,计算机科学与技术|统计学|数学|电气工程,计算机类|统计学|数学|电气类,计算机类=>工学 || 统计学=>理学 || 数学=>理学 || 电气类=>工学,要求,计算机类=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业 || 统计学=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业 || 数学=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业 || 电气类=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业,description,仅依据岗位正文中的专业要求语境抽取,"核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求
1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；","核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求
1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；","1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；","核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求",PyTorch|TensorFlow|Sklearn|Spark|机器学习|深度学习|本科|3-5年|人工智能|电力/水利/热力/燃气,机器学习|scikit-learn|TensorFlow|PyTorch|深度学习|数据挖掘,机器学习|scikit-learn|TensorFlow|PyTorch|深度学习,机器学习|scikit-learn|TensorFlow|PyTorch|深度学习,机器学习=>人工智能 || scikit-learn=>机器学习框架 || TensorFlow=>深度学习框架 || PyTorch=>深度学习框架 || 深度学习=>人工智能,"机器学习=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟 || scikit-learn=>、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等； || TensorFlow=>工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等； || PyTorch=>发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等； || 深度学习=>时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；",requirement_text,
2,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,机器学习工程师,广州,763,40884304213,http://jobs.zhaopin.com/CCL1451053260J40884304213.htm,2026-06-29T09:04:52,d7ea061e930d8e76,78d1f3ab882349ec,机器学习平台研发工程师,北京源于信科技有限公司,广州,黄埔,1.3-2.3万,13000,23000,12,本科,本科,3-5年,3-5年,3,5,区间,全职,软件/IT服务,300-499人,民营,2026-06-23,2026-06-23 01:47:01,,,not_provided,计算机,计算机类,计算机类=>工学,相关专业优先,计算机类=>1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Jav,description,仅依据岗位正文中的专业要求语境抽取,"工作职责：
1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。
岗位要求：
1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。","工作职责：
1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。
岗位要求：
1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。","1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。","1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。",本科|3-5年|机器学习|人工智能,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python=>编程语言 || Java=>编程语言 || C++=>编程语言 || MySQL=>数据库 || Redis=>数据库 || Kafka=>消息与流处理 || Docker=>容器技术 || 大语言模型=>人工智能 || 推荐算法=>算法 || Kubernetes=>容器编排,"Python=>专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或 || Java=>计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/ || C++=>/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubern || MySQL=>的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发 || Redis=>能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高 || Kafka=>以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加 || Docker=>程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有 || 大语言模型=>经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力 || 推荐算法=>或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。 || Kubernetes=>on/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / REST",requirement_text,
3,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,机器学习工程师,广州,763,41016290204,http://jobs.zhaopin.com/CC202740210J41016290204.htm,2026-06-29T09:04:52,74da1ce8644c03ce,8e06996a18526437,机器学习平台研发工程师,润建股份,广州,黄埔,1.6-2万,16000,20000,12,本科,本科,5-10年,5-10年,5,10,区间,全职,通信工程/技术服务,1000-9999人,股份制企业,2026-06-17,2026-06-17 17:45:39,,,not_provided,计算机,计算机类,计算机类=>工学,相关专业优先,计算机类=>1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Jav,description,仅依据岗位正文中的专业要求语境抽取,"工作职责：
1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。
岗位要求：
1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。
备注：
上班地点：云升科学园B座，后面搬到科城创新园","工作职责：
1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。
岗位要求：
1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。
备注：
上班地点：云升科学园B座，后面搬到科城创新园","1、计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加分项: 有从0到1 系统建设经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。
备注：
上班地点：云升科学园B座，后面搬到科城创新园","1、负责设计并开发高效、可扩展的人工智能平台，包括:模型训练、模型推理、资源调度、任务调度、模型管理、工作流编排等。
2、负责多种异构资源如GPU、CPU等的最优化的编排调度，提升集群的整体资源利用率。
3、服务算法模型团队，提供样本管理、模型开发调试、模型训练任务管理和版本管理、一键式上线服务部署等功能的平台化能力。
4、负责技术文档与协作，编写设计文档、接口规范及测试报告，协同算法、硬件、业务团队推进技术落地。
5、负责跟踪前沿技术，更新迭代平台架构，满足面向图神经网络、生成式AI等新技术应用，并与电力知识图谱、智能调度等场景的融合应用。
6、负责协同产品研发团队完成技术方案对接，撰写技术文档，支撑业务场景创新。
7、完成上级交办的其他任务。",MLOPS|算力调度|模型训练平台|GIN|gRPC|K8S、DOCKER|Python|Java|Golang|分布式资源编排|云原生 AI 平台开发|本科|5-10年|人工智能|电力/水利/热力/燃气|云计算,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python|Java|C++|MySQL|Redis|Kafka|Docker|大语言模型|推荐算法|Kubernetes,Python=>编程语言 || Java=>编程语言 || C++=>编程语言 || MySQL=>数据库 || Redis=>数据库 || Kafka=>消息与流处理 || Docker=>容器技术 || 大语言模型=>人工智能 || 推荐算法=>算法 || Kubernetes=>容器编排,"Python=>专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或 || Java=>计算机相关专业，本科及以上学历优先，扎实的数据结构与操作系统基础，熟练掌握 Golang/Java/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/ || C++=>/python，具备良好的编码习惯。
2、熟练掌握的Golang/Java/Python/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubern || MySQL=>的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发 || Redis=>能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高 || Kafka=>以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有分布式系统开发经验（高并发、高可用)。
4、加 || Docker=>程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / RESTful API,有 || 大语言模型=>经验（从无到有搭建平台/系统）,有互联网或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力 || 推荐算法=>或高并发系统经验,有AI平台 / MLOps平台,大模型训练/推理平台（如 LLM、CV、推荐系统）
5、良好的团队合作意识，优秀的沟通和学习能力。
备注：
上班地点：云升科学园B座，后面 || Kubernetes=>on/C++中一种或多种编程语言，具备良好的软件设计和开发能力。
3、熟悉以下技术栈优先：Kubernetes / Docker, MySQL / Redis / Kafka, gRPC / REST",requirement_text,
4,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,机器学习工程师,广州,763,40824485216,http://jobs.zhaopin.com/CC157088920J40824485216.htm,2026-06-29T09:04:52,8c805a20b059e199,685b756f16565ef9,机器学习算法工程师（双碳方向）,拓保软件,广州,黄埔,1.8-2.2万,18000,22000,12,本科,本科,5-10年,5-10年,5,10,区间,全职,软件/IT服务,1000-9999人,民营,2026-06-23,2026-06-23 01:57:41,,,not_provided,计算机科学与技术|统计学|数学|电气工程,计算机类|统计学|数学|电气类,计算机类=>工学 || 统计学=>理学 || 数学=>理学 || 电气类=>工学,相关专业优先,"计算机类=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
三、优先条件
6.在数据挖掘、机器学习（KDD、ICM || 统计学=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
三、优先条件
6.在数据挖掘、机器学习（KDD、ICML、NIPS、 || 数学=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
三、优先条件
6.在数据挖掘、机器学习（KDD、ICML、N || 电气类=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
三、优先条件
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等",description,仅依据岗位正文中的专业要求语境抽取,"核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求
1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力市场交易规则
2.有南网/国网项目经验，参与过电力负荷预测、新能源发电预测
3.有国产化芯片（昇腾、海光）、操作系统（统信、麒麟）及国产化框架适配经验
4.在顶会顶刊发表过时序算法相关论文，或持有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域顶级会议有文章发表或者数据挖掘竞赛（Kaggle、天池）获奖者均优先录取。","核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求
1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力市场交易规则
2.有南网/国网项目经验，参与过电力负荷预测、新能源发电预测
3.有国产化芯片（昇腾、海光）、操作系统（统信、麒麟）及国产化框架适配经验
4.在顶会顶刊发表过时序算法相关论文，或持有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域顶级会议有文章发表或者数据挖掘竞赛（Kaggle、天池）获奖者均优先录取。","1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力市场交易规则
2.有南网/国网项目经验，参与过电力负荷预测、新能源发电预测
3.有国产化芯片（昇腾、海光）、操作系统（统信、麒麟）及国产化框架适配经验
4.在顶会顶刊发表过时序算法相关论文，或持有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域顶级会议有文章发表或者数据挖掘竞赛（Kaggle、天池）获奖者均优先录取。","核心职责：
1、熟悉数据挖掘/机器学习/时序预测/可解释性算法等相关算法，训练双碳和能源行业的各种预测模型;
2、熟悉双碳和能源业务指标相关的数据分析、数据挖掘、归因分析、不确定性分析等，搭建算法库并与应用于相关系统
3、探索和跟踪机器学习/图学习/序列学习/可解释性人工智能算法等相关方向前沿技术，并落地于双碳与能源业务场景
4、具备良好的自驱力和文档编写能力，可自主开展编写算法设计文档、测试报告等工作
二、任职要求",南网|本科|5-10年|电力/水利/热力/燃气,Spark|机器学习|Flink|scikit-learn|TensorFlow|PyTorch|深度学习|数据挖掘,Spark|机器学习|Flink|scikit-learn|TensorFlow|PyTorch|深度学习|数据挖掘,Spark|机器学习|Flink|scikit-learn|TensorFlow|PyTorch|深度学习|数据挖掘,Spark=>大数据框架 || 机器学习=>人工智能 || Flink=>大数据框架 || scikit-learn=>机器学习框架 || TensorFlow=>深度学习框架 || PyTorch=>深度学习框架 || 深度学习=>人工智能 || 数据挖掘=>数据分析方法,"Spark=>验
4.在顶会顶刊发表过时序算法相关论文，或持有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLD || 机器学习=>1.本科及以上学历，计算机科学与技术、数学、统计学、电气工程等相关专业
2.3年及以上机器学习/时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟 || Flink=>会顶刊发表过时序算法相关论文，或持有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域 || scikit-learn=>、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力市场交易规则
2.有南网/国网项目经验 || TensorFlow=>工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力市场交易规则
2.有南 || PyTorch=>发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条件
1.熟悉双碳相关业务逻辑或电力 || 深度学习=>时间序列预测/可解释性算法研发或落地经验，有工业界项目交付经验
3、有扎实的代码能力，熟悉深度学习/机器学习框架，如 pytorch、tensorflow、sklearn 等；
三、优先条 || 数据挖掘=>有相关发明专利
5.具备大数据处理能力，熟悉Spark、Flink等分布式计算框架
6.在数据挖掘、机器学习（KDD、ICML、NIPS、VLDB等）等领域顶级会议有文章发表或者数据挖掘竞",requirement_text,
