数据源,搜索岗位,搜索城市,城市编码,采集状态代码,采集状态说明,有效岗位数,API原始返回数,重复过滤数,标题不相关过滤数,官网报告总数,最后尝试页,最后成功页,停止原因,输出CSV,原始JSONL,运行日志
zhaopin,大数据开发工程师,成都,801,success,采集完成,12,99,0,87,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,重庆,551,success,采集完成,7,100,0,93,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,大数据开发工程师,西安,854,success,采集完成,22,99,1,76,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\大数据开发工程师\大数据开发工程师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,北京,530,success,采集完成,1,1,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,上海,538,success,采集完成,3,3,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,广州,763,success,采集完成,1,1,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,深圳,765,success,采集完成,2,2,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,杭州,653,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,南京,635,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,武汉,736,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,成都,801,success,采集完成,4,4,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,重庆,551,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,数据仓库工程师,西安,854,success,采集完成,0,0,0,0,20,1,1,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\数据仓库工程师\数据仓库工程师_西安_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,北京,530,success,采集完成,75,100,2,23,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_北京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_北京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_北京_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,上海,538,success,采集完成,38,100,2,60,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_上海_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_上海_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_上海_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,广州,763,success,采集完成,18,100,0,82,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_广州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_广州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_广州_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,深圳,765,success,采集完成,54,100,0,46,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_深圳_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_深圳_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_深圳_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,杭州,653,success,采集完成,16,100,1,83,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_杭州_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_杭州_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_杭州_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,南京,635,success,采集完成,19,100,0,81,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_南京_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_南京_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_南京_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,武汉,736,success,采集完成,15,99,0,84,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_武汉_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_武汉_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_武汉_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,成都,801,success,采集完成,26,100,1,73,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_成都_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_成都_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_成都_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,重庆,551,success,采集完成,6,45,0,39,45,3,3,source_exhausted,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_重庆_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_重庆_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_重庆_20260629_085448_zhaopin_run_log.txt
zhaopin,Python开发工程师,西安,854,success,采集完成,32,100,0,68,100,5,5,max_pages_reached,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_西安_20260629_085448_zhaopin_jobs.csv,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_西安_20260629_085448_zhaopin_raw_items.jsonl,D:\桌面\毕业设计\数据\爬虫\智联招聘\爬取数据\Python开发工程师\Python开发工程师_西安_20260629_085448_zhaopin_run_log.txt
