序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,BI分析师,上海,538,40858274611,http://jobs.zhaopin.com/CC382363810J40858274611.htm,2026-06-29T08:57:27,47824c4943945be4,8b76017e774682bf,Power BI / Power Platform 数据分析师（低代码开发）,上海泛翔网络科技有限公司,上海,闵行,7000-9000元,7000,9000,12,大专,大专,1-3年,1-3年,1,3,区间,全职,软件/IT服务,500-999人,民营,2026-06-24,2026-06-24 17:01:14,,,not_provided,计算机|统计学|数学,计算机类|统计学|数学,计算机类=>工学 || 统计学=>理学 || 数学=>理学,相关专业优先,计算机类=>6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先 || 统计学=>6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先 || 数学=>6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先,description,仅依据岗位正文中的专业要求语境抽取,"岗位职责
1、负责企业Power BI数据可视化报表、仪表盘、数据看板的搭建、迭代与运维，对接业务需求，完成数据建模、指标体系梳理、可视化呈现，支撑经营分析、业务复盘、管理决策。
2、独立完成Power BI全流程数据处理：包含数据源对接（Excel、数据库、ERP、CRM、OA、业务系统、API等）、数据清洗、Power Query数据预处理、DAX函数建模、度量值编写、数据模型优化，保障报表数据准确、更新及时。
3、基于Microsoft Power Platform（Power Apps / Power Automate / SharePoint）搭建企业轻量化低代码应用与自动化流程，替代传统手工表格、重复办公流程，实现业务流程数字化、自动化提效。
4、负责业务需求调研、拆解与落地，对接各业务部门，梳理业务痛点、数据口径、流程短板，输出数据方案、可视化方案、低代码流程方案。
5、负责现有报表、数据模型、自动化流程的优化升级，解决数据延迟、逻辑冗余、报表卡顿、流程失效等问题，持续提升数据输出效率与业务办公效率。
6、建立统一的数据指标口径、报表使用规范、低代码应用运维规范，沉淀可复用的数据模板、流程模板，赋能团队数字化能力。
7、配合完成数据分析、专项复盘、数据监控工作，输出经营分析数据、异常数据预警、业务优化建议。
任职要求
1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报表与动态看板。
2、基础掌握Power Platform低代码平台：熟练使用Power Automate搭建自动化工作流、Power Apps开发轻量化业务应用，熟悉SharePoint列表数据搭建与权限管理。
3、具备基础数据能力：熟悉SQL语句，能够独立查询、清洗、关联数据库数据，理解数据仓库、数据分层、基础数据逻辑。
4、具备良好的业务理解能力，能够快速拆解业务需求，转化为数据报表、自动化流程解决方案，有独立项目落地经验。
5、逻辑清晰、细心严谨，对数据准确性负责，具备良好的沟通能力、问题排查能力和自主学习能力。
6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先。","岗位职责
1、负责企业Power BI数据可视化报表、仪表盘、数据看板的搭建、迭代与运维，对接业务需求，完成数据建模、指标体系梳理、可视化呈现，支撑经营分析、业务复盘、管理决策。
2、独立完成Power BI全流程数据处理：包含数据源对接（Excel、数据库、ERP、CRM、OA、业务系统、API等）、数据清洗、Power Query数据预处理、DAX函数建模、度量值编写、数据模型优化，保障报表数据准确、更新及时。
3、基于Microsoft Power Platform（Power Apps / Power Automate / SharePoint）搭建企业轻量化低代码应用与自动化流程，替代传统手工表格、重复办公流程，实现业务流程数字化、自动化提效。
4、负责业务需求调研、拆解与落地，对接各业务部门，梳理业务痛点、数据口径、流程短板，输出数据方案、可视化方案、低代码流程方案。
5、负责现有报表、数据模型、自动化流程的优化升级，解决数据延迟、逻辑冗余、报表卡顿、流程失效等问题，持续提升数据输出效率与业务办公效率。
6、建立统一的数据指标口径、报表使用规范、低代码应用运维规范，沉淀可复用的数据模板、流程模板，赋能团队数字化能力。
7、配合完成数据分析、专项复盘、数据监控工作，输出经营分析数据、异常数据预警、业务优化建议。
任职要求
1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报表与动态看板。
2、基础掌握Power Platform低代码平台：熟练使用Power Automate搭建自动化工作流、Power Apps开发轻量化业务应用，熟悉SharePoint列表数据搭建与权限管理。
3、具备基础数据能力：熟悉SQL语句，能够独立查询、清洗、关联数据库数据，理解数据仓库、数据分层、基础数据逻辑。
4、具备良好的业务理解能力，能够快速拆解业务需求，转化为数据报表、自动化流程解决方案，有独立项目落地经验。
5、逻辑清晰、细心严谨，对数据准确性负责，具备良好的沟通能力、问题排查能力和自主学习能力。
6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先。","1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报表与动态看板。
2、基础掌握Power Platform低代码平台：熟练使用Power Automate搭建自动化工作流、Power Apps开发轻量化业务应用，熟悉SharePoint列表数据搭建与权限管理。
3、具备基础数据能力：熟悉SQL语句，能够独立查询、清洗、关联数据库数据，理解数据仓库、数据分层、基础数据逻辑。
4、具备良好的业务理解能力，能够快速拆解业务需求，转化为数据报表、自动化流程解决方案，有独立项目落地经验。
5、逻辑清晰、细心严谨，对数据准确性负责，具备良好的沟通能力、问题排查能力和自主学习能力。
6、大专及以上学历，统计学、数学、计算机、数据分析、经管类相关专业优先，1-3年相关岗位经验优先。","1、负责企业Power BI数据可视化报表、仪表盘、数据看板的搭建、迭代与运维，对接业务需求，完成数据建模、指标体系梳理、可视化呈现，支撑经营分析、业务复盘、管理决策。
2、独立完成Power BI全流程数据处理：包含数据源对接（Excel、数据库、ERP、CRM、OA、业务系统、API等）、数据清洗、Power Query数据预处理、DAX函数建模、度量值编写、数据模型优化，保障报表数据准确、更新及时。
3、基于Microsoft Power Platform（Power Apps / Power Automate / SharePoint）搭建企业轻量化低代码应用与自动化流程，替代传统手工表格、重复办公流程，实现业务流程数字化、自动化提效。
4、负责业务需求调研、拆解与落地，对接各业务部门，梳理业务痛点、数据口径、流程短板，输出数据方案、可视化方案、低代码流程方案。
5、负责现有报表、数据模型、自动化流程的优化升级，解决数据延迟、逻辑冗余、报表卡顿、流程失效等问题，持续提升数据输出效率与业务办公效率。
6、建立统一的数据指标口径、报表使用规范、低代码应用运维规范，沉淀可复用的数据模板、流程模板，赋能团队数字化能力。
7、配合完成数据分析、专项复盘、数据监控工作，输出经营分析数据、异常数据预警、业务优化建议。",Power BI|POWER PLATFORM|大专|1-3年,SQL|数据仓库|Power BI|Excel|数据建模|数据可视化|ERP|Power Query,SQL|数据仓库|Power BI|数据建模|数据可视化|Power Query,SQL|数据仓库|Power BI|数据建模|数据可视化|Power Query,SQL=>查询语言 || 数据仓库=>数据工程 || Power BI=>数据可视化 || 数据建模=>数据工程 || 数据可视化=>数据可视化 || Power Query=>办公与分析工具,"SQL=>量化业务应用，熟悉SharePoint列表数据搭建与权限管理。
3、具备基础数据能力：熟悉SQL语句，能够独立查询、清洗、关联数据库数据，理解数据仓库、数据分层、基础数据逻辑。
4、具备 || 数据仓库=>权限管理。
3、具备基础数据能力：熟悉SQL语句，能够独立查询、清洗、关联数据库数据，理解数据仓库、数据分层、基础数据逻辑。
4、具备良好的业务理解能力，能够快速拆解业务需求，转化为数据报 || Power BI=>1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与 || 数据建模=>1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报表与动态看板。
2 || 数据可视化=>uery数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报表与动态看板。
2、基础掌握Power Platform低代码平台：熟练使用Power Au || Power Query=>1、基础掌握Power BI技能：精通Power Query数据清洗、数据建模、维度表/事实表设计、DAX度量值编写与优化，能够独立搭建企业级可视化报",requirement_text,
2,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,BI分析师,上海,538,40655811101,http://jobs.zhaopin.com/CC550049530J40655811101.htm,2026-06-29T08:57:27,88b0c9890490dbb4,50e3a131c2506e65,高级Power BI数据分析师,敏捷艾科,上海,静安,1.5-2万·13薪,15000,20000,13,本科,本科,3-5年,3-5年,3,5,区间,全职,产业互联网平台,100-299人,民营,2025-03-18,2025-03-18 14:41:51,,,not_provided,,,,未说明,,not_specified,岗位正文未识别到明确专业要求,"1.直接对接客户，能够根据客户提供的数据和分析需求，设计并实施Power BI解决方案
2.负责业务需求的提出、方案设计、落地实施、上线，运维的全生命周期流程
3.独立完成客户项目的整体计划、组织、运作、管理； 4、负责已完成的报表的日常运营维护和新需求开发。
任职要求及必备技能：
1.对不同行业的业务模式有较强的学习和理解能力，具备良好的沟通能力和抗压能力;
2.三年或以上PBI数据分析经验，可以独立产出数据分析报告
3.熟练掌握Power BI工具的使用，在DAX函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库、Power BI相关项目的开发经验者优先;
2.有PowerPlatform,微软云相关产品开发经验者优先；
3.熟练使用Tabular
Editor
4.了解主流数据库产品，如SQLServer，Oracle等，掌握至少一种主流数据库的使用，能够读懂和编写复杂的存储过程
5.英语口语能力优秀者优先。
公司福利：五险一金、双休、弹性工作等。
时间宝贵，不符合条件者请勿扰，谢谢","1.直接对接客户，能够根据客户提供的数据和分析需求，设计并实施Power BI解决方案
2.负责业务需求的提出、方案设计、落地实施、上线，运维的全生命周期流程
3.独立完成客户项目的整体计划、组织、运作、管理； 4、负责已完成的报表的日常运营维护和新需求开发。
任职要求及必备技能：
1.对不同行业的业务模式有较强的学习和理解能力，具备良好的沟通能力和抗压能力;
2.三年或以上PBI数据分析经验，可以独立产出数据分析报告
3.熟练掌握Power BI工具的使用，在DAX函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库、Power BI相关项目的开发经验者优先;
2.有PowerPlatform,微软云相关产品开发经验者优先；
3.熟练使用Tabular
Editor
4.了解主流数据库产品，如SQLServer，Oracle等，掌握至少一种主流数据库的使用，能够读懂和编写复杂的存储过程
5.英语口语能力优秀者优先。
公司福利：五险一金、双休、弹性工作等。
时间宝贵，不符合条件者请勿扰，谢谢","及必备技能：
1.对不同行业的业务模式有较强的学习和理解能力，具备良好的沟通能力和抗压能力;
2.三年或以上PBI数据分析经验，可以独立产出数据分析报告
3.熟练掌握Power BI工具的使用，在DAX函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库、Power BI相关项目的开发经验者优先;
2.有PowerPlatform,微软云相关产品开发经验者优先；
3.熟练使用Tabular
Editor
4.了解主流数据库产品，如SQLServer，Oracle等，掌握至少一种主流数据库的使用，能够读懂和编写复杂的存储过程
5.英语口语能力优秀者优先。
公司福利：五险一金、双休、弹性工作等。
时间宝贵，不符合条件者请勿扰，谢谢","1.直接对接客户，能够根据客户提供的数据和分析需求，设计并实施Power BI解决方案
2.负责业务需求的提出、方案设计、落地实施、上线，运维的全生命周期流程
3.独立完成客户项目的整体计划、组织、运作、管理； 4、负责已完成的报表的日常运营维护和新需求开发。
任职要求",Power BI|报表开发|讲逻辑懂沟通|本科|3-5年|软件/IT服务|五险一金|弹性工作,SQL|数据仓库|Oracle|Power BI|数据建模|SQL Server,SQL|数据仓库|Oracle|Power BI|数据建模|SQL Server,SQL|数据仓库|Oracle|Power BI|数据建模|SQL Server,SQL=>查询语言 || 数据仓库=>数据工程 || Oracle=>数据库 || Power BI=>数据可视化 || 数据建模=>数据工程 || SQL Server=>数据库,"SQL=>X函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库、Power BI相关项目的开发经验者优先;
2 || 数据仓库=>数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库、Power BI相关项目的开发经验者优先;
2.有PowerPlatform,微软云相关 || Oracle=>3.熟练使用Tabular
Editor
4.了解主流数据库产品，如SQLServer，Oracle等，掌握至少一种主流数据库的使用，能够读懂和编写复杂的存储过程
5.英语口语能力优秀者优先 || Power BI=>能力和抗压能力;
2.三年或以上PBI数据分析经验，可以独立产出数据分析报告
3.熟练掌握Power BI工具的使用，在DAX函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功 || 数据建模=>告
3.熟练掌握Power BI工具的使用，在DAX函数和模型开发方面有较强基础
4.具备数据模型调优和报表性能优化的成功经验
5.熟练使用SQL进行数据查询
加分项：
1.有大型数据仓库 || SQL Server=>产品开发经验者优先；
3.熟练使用Tabular
Editor
4.了解主流数据库产品，如SQLServer，Oracle等，掌握至少一种主流数据库的使用，能够读懂和编写复杂的存储过程
5.英语口语",requirement_text,
