序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据仓库工程师,深圳,765,40823740716,http://jobs.zhaopin.com/CC000544460J40823740716.htm,2026-06-29T09:02:16,ab790e26e98ca503,04bb2dbf8883eb61,BI(数据仓库）,软通动力信息技术(集团)股份有限公司,深圳,龙岗,1.1-1.3万,11000,13000,12,本科,本科,3-5年,3-5年,3,5,区间,全职,软件/IT服务,10000人以上,上市公司,2026-06-11,2026-06-11 17:41:09,,,not_provided,,,,未说明,,not_specified,岗位正文未识别到明确专业要求,"【岗位要求】
1、本科4年及以上学历
2、熟悉数据仓库理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数据库能力
4、熟练掌握主流ETL，BI工具，有平台的部署能力，最好能引入不同的ETL,BI平台.orcale 精通GAUSS
6 . 在软通内部办公，非外派。
试用期购买五险一金","【岗位要求】
1、本科4年及以上学历
2、熟悉数据仓库理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数据库能力
4、熟练掌握主流ETL，BI工具，有平台的部署能力，最好能引入不同的ETL,BI平台.orcale 精通GAUSS
6 . 在软通内部办公，非外派。
试用期购买五险一金",,"【岗位要求】
1、本科4年及以上学历
2、熟悉数据仓库理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数据库能力
4、熟练掌握主流ETL，BI工具，有平台的部署能力，最好能引入不同的ETL,BI平台.orcale 精通GAUSS
6 . 在软通内部办公，非外派。
试用期购买五险一金",Power BI|Oracle|MySQL|SQL Server|本科|3-5年|购买五险一金|五险一金,SQL|数据仓库|ETL|数据建模,,SQL|数据仓库|ETL|数据建模,SQL=>查询语言 || 数据仓库=>数据工程 || ETL=>数据工程 || 数据建模=>数据工程,"SQL=>理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数据库能力
4、熟练掌握主流ETL，BI工具，有平台的部署能力，最好 || 数据仓库=>【岗位要求】
1、本科4年及以上学历
2、熟悉数据仓库理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉 || ETL=>3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数据库能力
4、熟练掌握主流ETL，BI工具，有平台的部署能力，最好能引入不同的ETL,BI平台.orcale 精通GAUS || 数据建模=>【岗位要求】
1、本科4年及以上学历
2、熟悉数据仓库理论体系，对分层设计、维度建模等有较深的理解和实战经验。
3、具备传统数据库开发能力，熟悉SQL，性能优化、存储过程等数",job_description,
2,zhaopin,2026-06-25.1,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据仓库工程师,深圳,765,40846563507,http://jobs.zhaopin.com/CC315847110J40846563507.htm,2026-06-29T09:02:16,8914268f6a39a43d,92d5c318f2328226,数据仓库项目经理,京北方,深圳,罗湖,1.8-2.3万,18000,23000,12,本科,本科,5-10年,5-10年,5,10,区间,全职,软件/IT服务,10000人以上,民营,2026-05-08,2026-05-08 15:17:58,,,not_provided,,,,未说明,,not_specified,岗位正文未识别到明确专业要求,1、具有5-15年以上金融科技或银行信息化经验，熟悉租赁或银行业务； 2、具有多个大型金融机构项目（银行总行或大型资管机构) 企业级数据平台/数据治理/数据中台/数据仓库项目经验； 3、有互联网大厂工作经历，熟悉主流云平台产品； 4、具有海外工作经验或CET6及以上级别证书； 5、主导过数仓项目经验1个以上。,1、具有5-15年以上金融科技或银行信息化经验，熟悉租赁或银行业务； 2、具有多个大型金融机构项目（银行总行或大型资管机构) 企业级数据平台/数据治理/数据中台/数据仓库项目经验； 3、有互联网大厂工作经历，熟悉主流云平台产品； 4、具有海外工作经验或CET6及以上级别证书； 5、主导过数仓项目经验1个以上。,,1、具有5-15年以上金融科技或银行信息化经验，熟悉租赁或银行业务； 2、具有多个大型金融机构项目（银行总行或大型资管机构) 企业级数据平台/数据治理/数据中台/数据仓库项目经验； 3、有互联网大厂工作经历，熟悉主流云平台产品； 4、具有海外工作经验或CET6及以上级别证书； 5、主导过数仓项目经验1个以上。,数仓开发|数据建模|Python|MySQL|Oracle|Kettle|Hadoop|Hive|银行|项目经理|英语|本科|5-10年,数据仓库|数据治理,,数据仓库|数据治理,数据仓库=>数据工程 || 数据治理=>数据工程,数据仓库=>业务； 2、具有多个大型金融机构项目（银行总行或大型资管机构) 企业级数据平台/数据治理/数据中台/数据仓库项目经验； 3、有互联网大厂工作经历，熟悉主流云平台产品； 4、具有海外工作经验 || 数据治理=>租赁或银行业务； 2、具有多个大型金融机构项目（银行总行或大型资管机构) 企业级数据平台/数据治理/数据中台/数据仓库项目经验； 3、有互联网大厂工作经历，熟悉主流云平台产品； 4、具有海,job_description,
