序号,数据源,爬虫版本,技能词典版本,专业词典版本,搜索岗位,搜索城市,搜索城市编码,来源岗位ID,来源链接,采集时间,来源岗位指纹,内容指纹,岗位名称,公司名称,实际城市,区县,薪资原文,最低月薪,最高月薪,年薪月数,学历要求,学历原文,经验要求,经验原文,最低经验年限,最高经验年限,经验要求类型,岗位类型,行业,公司规模,公司性质,发布日期,发布日期原文,经度,纬度,API隐藏专业标签核验状态,正文专业候选原文,正文确认标准专业,专业类别,专业要求级别,专业证据,专业判定来源,专业判定说明,岗位描述原文,岗位描述清洗文本,任职要求文本,岗位职责文本,官网岗位标签,描述技能候选,任职要求技能候选,确认技能候选,技能类别,技能证据,技能提取范围,数据质量标记
1,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据开发工程师,成都,510100,GQJNry9Mwt3xnUugG8Nwrw,https://www.ncss.cn/student/jobs/GQJNry9Mwt3xnUugG8Nwrw/detail.html,2026-06-24T16:10:20.982075,cfa9e395c559675f,5d2646b3e3258233,大数据开发工程师,上海万厦信息技术有限公司,成都,,6-8K/月,6000,8000,12,本科,本科及以上,应届生,应届毕业生,0,0,应届,实习,,50-99人,,2026-06-17,1781665224000,,,not_provided,计算机,计算机类,计算机类=>工学,要求,1、计算机相关专业统招本科，接受应届毕业生,description,仅依据岗位正文中的专业要求及证据生成标准专业候选,"岗位职责：
1、参与某大型运营商的大数据开发项目与日常运维工作
任职要求：
1、计算机相关专业统招本科，接受应届毕业生；
2、该岗位在成都，优先接受线下面试；
3、有Spark、Hive或Flink大数据实习或开发工作经验；
4、熟悉Linux系统并熟练使用常用命令和Shell编程；
5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验；
6、具备较强的SQL能力，能快速阅读长SQL并定位和修改相关问题；
7、了解Java或Scala开发语言者优先；
8、接受夜间和周末值班安排，确保大数据任务的正常运行（值班后会有调休或允许居家办公）","岗位职责：
1、参与某大型运营商的大数据开发项目与日常运维工作
任职要求：
1、计算机相关专业统招本科，接受应届毕业生；
2、该岗位在成都，优先接受线下面试；
3、有Spark、Hive或Flink大数据实习或开发工作经验；
4、熟悉Linux系统并熟练使用常用命令和Shell编程；
5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验；
6、具备较强的SQL能力，能快速阅读长SQL并定位和修改相关问题；
7、了解Java或Scala开发语言者优先；
8、接受夜间和周末值班安排，确保大数据任务的正常运行（值班后会有调休或允许居家办公）","1、计算机相关专业统招本科，接受应届毕业生；
2、该岗位在成都，优先接受线下面试；
3、有Spark、Hive或Flink大数据实习或开发工作经验；
4、熟悉Linux系统并熟练使用常用命令和Shell编程；
5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验；
6、具备较强的SQL能力，能快速阅读长SQL并定位和修改相关问题；
7、了解Java或Scala开发语言者优先；
8、接受夜间和周末值班安排，确保大数据任务的正常运行（值班后会有调休或允许居家办公）",1、参与某大型运营商的大数据开发项目与日常运维工作,,SQL|Spark|Java|Scala|ClickHouse|Hadoop|Hive|Flink|Linux|Trino,SQL|Spark|Java|Scala|ClickHouse|Hadoop|Hive|Flink|Linux|Trino,SQL|Spark|Java|Scala|ClickHouse|Hadoop|Hive|Flink|Linux|Trino,SQL=>查询语言 || Spark=>大数据框架 || Java=>编程语言 || Scala=>编程语言 || ClickHouse=>数据库 || Hadoop=>大数据框架 || Hive=>大数据框架 || Flink=>大数据框架 || Linux=>操作系统 || Trino=>查询引擎,SQL=>6、具备较强的SQL能力，能快速阅读长SQL并定位和修改相关问题； || Spark=>3、有Spark、Hive或Flink大数据实习或开发工作经验； || Java=>7、了解Java或Scala开发语言者优先； || Scala=>7、了解Java或Scala开发语言者优先； || ClickHouse=>5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验； || Hadoop=>5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验； || Hive=>3、有Spark、Hive或Flink大数据实习或开发工作经验； || Flink=>3、有Spark、Hive或Flink大数据实习或开发工作经验； || Linux=>4、熟悉Linux系统并熟练使用常用命令和Shell编程； || Trino=>5、熟练掌握包括但不限于：Hadoop、Hive、Spark，Flink，Trino，Clickhouse等技术栈，并具有实际项目经验；,requirement_text,district_missing
2,ncss,2026-06-23.ncss.standalone.10-streak,2026-06-18.1;2026-06-22.1+sha256:b9b87316,2026-06-18.1;2026-06-22.1+sha256:4b6deb61,数据开发工程师,成都,510100,PwBmGeHMTPLmnmXKdHrhxN,https://www.ncss.cn/student/jobs/PwBmGeHMTPLmnmXKdHrhxN/detail.html,2026-06-24T16:10:24.953224,d95694171f5faf57,b7b3e873bbeb9939,数据开发工程师（实习生）,上海汉得信息技术股份有限公司,成都,,6-10K/月,6000,10000,12,本科,本科及以上,,,,,未说明,实习,,5000以上,其他,2026-05-17,1778958005000,,,unverified_api_only,,,,未说明,,not_specified,岗位正文未明确专业要求，平台列表专业标签不纳入标准专业候选,"负责大数据平台的部署和规划建设；
转换业务需求，参与数据仓库(离线、实时)和数据应用的建设、开发和维护","负责大数据平台的部署和规划建设；
转换业务需求，参与数据仓库(离线、实时)和数据应用的建设、开发和维护",,"负责大数据平台的部署和规划建设；
转换业务需求，参与数据仓库(离线、实时)和数据应用的建设、开发和维护",五险一金,数据仓库,,数据仓库,数据仓库=>数据工程,数据仓库=>转换业务需求，参与数据仓库(离线、实时)和数据应用的建设、开发和维护,job_description_fallback,requirement_section_missing|major_missing|platform_major_unverified|district_missing|description_short
